commit 22581599819c2384dc2663999ab033cb7d5a0ac3
Merge: c74454a 2f2d8df
Author: bors <bors@rust-lang.org>
Date:   Mon Oct 19 21:44:56 2015 +0000

    Auto merge of #29172 - steveklabnik:rollup, r=steveklabnik
    
    - Successful merges: #29027, #29125, #29132, #29165, #29168, #29169
    - Failed merges:
rustc: ./html5ever-2015-05-15
cargo rustc -- -Ztime-passes
   Compiling html5ever v0.0.0 (file:///root/benchmarks/html5ever-2015-05-15)
time: 0.019; rss: 39MB	parsing
time: 0.005; rss: 39MB	configuration 1
time: 0.000; rss: 39MB	recursion limit
time: 0.000; rss: 39MB	gated macro checking
time: 0.000; rss: 39MB	crate injection
time: 0.020; rss: 55MB	macro loading
time: 0.001; rss: 56MB	plugin loading
time: 0.000; rss: 56MB	plugin registration
time: 1.011; rss: 72MB	expansion
time: 0.004; rss: 72MB	complete gated feature checking 1
time: 0.027; rss: 72MB	configuration 2
time: 0.000; rss: 72MB	gated configuration checking
time: 0.014; rss: 72MB	maybe building test harness
time: 0.013; rss: 72MB	prelude injection
time: 0.002; rss: 72MB	checking that all macro invocations are gone
time: 0.000; rss: 72MB	checking for inline asm in case the target doesn't support it
time: 0.003; rss: 72MB	complete gated feature checking 2
time: 0.014; rss: 72MB	assigning node ids
time: 0.017; rss: 86MB	lowering ast -> hir
time: 0.007; rss: 89MB	indexing hir
time: 0.000; rss: 89MB	attribute checking
time: 0.010; rss: 89MB	early lint checks
time: 0.004; rss: 89MB	external crate/lib resolution
time: 0.003; rss: 89MB	language item collection
time: 0.033; rss: 108MB	resolution
time: 0.002; rss: 108MB	lifetime resolution
time: 0.000; rss: 108MB	looking for entry point
time: 0.001; rss: 108MB	looking for plugin registrar
time: 0.015; rss: 112MB	region resolution
time: 0.002; rss: 113MB	loop checking
time: 0.002; rss: 113MB	static item recursion checking
time: 0.008; rss: 113MB	type collecting
time: 0.003; rss: 113MB	variance inference
time: 0.038; rss: 131MB	coherence checking
time: 0.007; rss: 131MB	wf checking (old)
time: 0.321; rss: 164MB	item-types checking
time: 0.599; rss: 177MB	item-bodies checking
time: 0.000; rss: 177MB	drop-impl checking
time: 0.027; rss: 177MB	wf checking (new)
time: 0.076; rss: 177MB	const checking
time: 0.012; rss: 177MB	privacy checking
time: 0.001; rss: 177MB	stability index
time: 0.004; rss: 177MB	intrinsic checking
time: 0.003; rss: 177MB	effect checking
time: 0.027; rss: 177MB	match checking
time: 0.094; rss: 192MB	MIR dump
time: 0.012; rss: 196MB	liveness checking
time: 0.098; rss: 198MB	borrow checking
time: 0.040; rss: 198MB	rvalue checking
time: 0.003; rss: 198MB	reachability checking
time: 0.010; rss: 198MB	death checking
time: 0.007; rss: 198MB	stability checking
time: 0.000; rss: 198MB	unused lib feature checking
time: 0.056; rss: 198MB	lint checking
time: 0.000; rss: 198MB	resolving dependency formats
time: 0.476; rss: 244MB	translation
  time: 0.018; rss: 117MB	llvm function passes
  time: 0.007; rss: 118MB	llvm module passes
  time: 0.337; rss: 153MB	codegen passes
  time: 0.001; rss: 129MB	codegen passes
time: 0.421; rss: 129MB	LLVM passes
time: 0.060; rss: 129MB	linking
done
