commit c87ba3f1222ba20d491e8ed76a04977283280742
Merge: 58450c0 f9a3408
Author: bors <bors@rust-lang.org>
Date:   Tue Sep 13 04:57:23 2016 -0700

    Auto merge of #36264 - matklad:zeroing-cstring, r=alexcrichton
    
    Zero first byte of CString on drop
    
    Hi! This is one more attempt to ameliorate `CString::new("...").unwrap().as_ptr()` problem (related RFC: https://github.com/rust-lang/rfcs/pull/1642).
    
    One of the biggest problems with this code is that it may actually work in practice, so the idea of this PR is to proactively break such invalid code.
    
    Looks like writing a `null` byte at the start of the CString should do the trick, and I think is an affordable cost: zeroing a single byte in `Drop` should be cheap enough compared to actual memory deallocation which would follow.
    
    I would actually prefer to do something like
    
    ```Rust
    impl Drop for CString {
        fn drop(&mut self) {
            let pattern = b"CTHULHU FHTAGN ";
            let bytes = self.inner[..self.inner.len() - 1];
            for (d, s) in bytes.iter_mut().zip(pattern.iter().cycle()) {
                *d = *s;
            }
        }
    }
    ```
    
    because Cthulhu error should be much easier to google, but unfortunately this would be too expensive in release builds, and we can't implement things `cfg(debug_assertions)` conditionally in stdlib.
    
    Not sure if the whole idea or my implementation (I've used ~~`transmute`~~ `mem::unitialized` to workaround move out of Drop thing) makes sense :)
rustc: ./html5ever-2016-08-25
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling html5ever v0.5.4 (file:///root/benchmarks/html5ever-2016-08-25)
time: 0.029; rss: 52MB	parsing
Lines of code:             8210
Pre-expansion node count:  52238
time: 0.000; rss: 52MB	recursion limit
time: 0.000; rss: 52MB	crate injection
time: 0.000; rss: 52MB	plugin loading
time: 0.000; rss: 52MB	plugin registration
time: 1.401; rss: 99MB	expansion
time: 0.000; rss: 99MB	maybe building test harness
time: 0.002; rss: 99MB	maybe creating a macro crate
time: 0.008; rss: 99MB	assigning node ids
Post-expansion node count: 164262
time: 0.000; rss: 99MB	checking for inline asm in case the target doesn't support it
time: 0.003; rss: 99MB	complete gated feature checking
time: 0.005; rss: 101MB	collecting defs
time: 0.006; rss: 103MB	external crate/lib resolution
time: 0.009; rss: 103MB	early lint checks
time: 0.002; rss: 103MB	AST validation
time: 0.019; rss: 107MB	name resolution
time: 0.017; rss: 124MB	lowering ast -> hir
time: 0.004; rss: 128MB	indexing hir
time: 0.002; rss: 128MB	attribute checking
time: 0.002; rss: 110MB	language item collection
time: 0.003; rss: 110MB	lifetime resolution
time: 0.000; rss: 110MB	looking for entry point
time: 0.000; rss: 110MB	looking for plugin registrar
time: 0.015; rss: 116MB	region resolution
time: 0.002; rss: 116MB	loop checking
time: 0.003; rss: 116MB	static item recursion checking
time: 0.024; rss: 116MB	compute_incremental_hashes_map
time: 0.000; rss: 116MB	load_dep_graph
time: 0.014; rss: 116MB	type collecting
time: 0.000; rss: 116MB	variance inference
time: 0.027; rss: 120MB	coherence checking
time: 0.027; rss: 121MB	wf checking
time: 0.366; rss: 128MB	item-types checking
time: 0.586; rss: 145MB	item-bodies checking
time: 0.000; rss: 145MB	drop-impl checking
time: 0.076; rss: 145MB	const checking
time: 0.009; rss: 145MB	privacy checking
time: 0.002; rss: 145MB	stability index
time: 0.005; rss: 145MB	intrinsic checking
time: 0.003; rss: 145MB	effect checking
time: 0.028; rss: 145MB	match checking
time: 0.013; rss: 141MB	liveness checking
time: 0.031; rss: 141MB	rvalue checking
time: 0.118; rss: 185MB	MIR dump
  time: 0.009; rss: 187MB	SimplifyCfg
  time: 0.015; rss: 187MB	QualifyAndPromoteConstants
  time: 0.026; rss: 187MB	TypeckMir
  time: 0.000; rss: 187MB	SimplifyBranches
  time: 0.005; rss: 187MB	SimplifyCfg
time: 0.055; rss: 187MB	MIR passes
time: 0.095; rss: 192MB	borrow checking
time: 0.003; rss: 192MB	reachability checking
time: 0.007; rss: 192MB	death checking
time: 0.009; rss: 192MB	stability checking
time: 0.000; rss: 192MB	unused lib feature checking
time: 0.067; rss: 192MB	lint checking
time: 0.000; rss: 192MB	resolving dependency formats
  time: 0.000; rss: 192MB	NoLandingPads
  time: 0.004; rss: 192MB	SimplifyCfg
  time: 0.010; rss: 192MB	EraseRegions
  time: 0.001; rss: 192MB	AddCallGuards
  time: 0.082; rss: 196MB	ElaborateDrops
  time: 0.000; rss: 196MB	NoLandingPads
  time: 0.011; rss: 194MB	SimplifyCfg
  time: 0.002; rss: 194MB	Deaggregator
  time: 0.001; rss: 194MB	AddCallGuards
  time: 0.000; rss: 194MB	PreTrans
time: 0.150; rss: 194MB	Prepare MIR codegen passes
  time: 0.063; rss: 194MB	write metadata
  time: 0.044; rss: 196MB	translation item collection
  time: 0.006; rss: 196MB	codegen unit partitioning
  time: 0.012; rss: 212MB	internalize symbols
time: 0.437; rss: 186MB	translation
time: 0.000; rss: 186MB	assert dep graph
time: 0.000; rss: 186MB	serialize dep graph
  time: 0.023; rss: 113MB	llvm function passes [0]
  time: 0.013; rss: 114MB	llvm module passes [0]
  time: 0.527; rss: 117MB	codegen passes [0]
  time: 0.001; rss: 117MB	codegen passes [0]
time: 0.609; rss: 117MB	LLVM passes
time: 0.000; rss: 117MB	serialize work products
time: 0.060; rss: 97MB	linking
done
