commit d37e54b419507ee1f264d7778ed12b30ddb21fe5
Merge: 32571c0 e8a44d2
Author: bors <bors@rust-lang.org>
Date:   Sat Sep 17 17:30:22 2016 -0700

    Auto merge of #36504 - pcwalton:and-star, r=eddyb
    
    librustc_mir: Remove `&*x` when `x` has a reference type.
    
    This introduces a new `InstCombine` pass for us to place such peephole
    optimizations.
    
    r? @eddyb
rustc: ./html5ever-2016-08-25
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling html5ever v0.5.4 (file:///root/benchmarks/html5ever-2016-08-25)
time: 0.029; rss: 53MB	parsing
Lines of code:             8210
Pre-expansion node count:  52238
time: 0.000; rss: 53MB	recursion limit
time: 0.000; rss: 53MB	crate injection
time: 0.000; rss: 53MB	plugin loading
time: 0.000; rss: 53MB	plugin registration
time: 1.157; rss: 100MB	expansion
time: 0.000; rss: 100MB	maybe building test harness
time: 0.002; rss: 100MB	maybe creating a macro crate
time: 0.008; rss: 100MB	assigning node ids
Post-expansion node count: 164262
time: 0.000; rss: 100MB	checking for inline asm in case the target doesn't support it
time: 0.003; rss: 100MB	complete gated feature checking
time: 0.005; rss: 101MB	collecting defs
time: 0.006; rss: 103MB	external crate/lib resolution
time: 0.009; rss: 103MB	early lint checks
time: 0.002; rss: 103MB	AST validation
time: 0.020; rss: 107MB	name resolution
time: 0.017; rss: 125MB	lowering ast -> hir
time: 0.004; rss: 127MB	indexing hir
time: 0.002; rss: 127MB	attribute checking
time: 0.002; rss: 109MB	language item collection
time: 0.003; rss: 109MB	lifetime resolution
time: 0.000; rss: 109MB	looking for entry point
time: 0.000; rss: 109MB	looking for plugin registrar
time: 0.016; rss: 115MB	region resolution
time: 0.002; rss: 115MB	loop checking
time: 0.002; rss: 115MB	static item recursion checking
time: 0.024; rss: 116MB	compute_incremental_hashes_map
time: 0.000; rss: 116MB	load_dep_graph
time: 0.015; rss: 117MB	type collecting
time: 0.000; rss: 117MB	variance inference
time: 0.027; rss: 121MB	coherence checking
time: 0.027; rss: 121MB	wf checking
time: 0.363; rss: 134MB	item-types checking
time: 0.585; rss: 145MB	item-bodies checking
time: 0.000; rss: 145MB	drop-impl checking
time: 0.076; rss: 147MB	const checking
time: 0.009; rss: 147MB	privacy checking
time: 0.002; rss: 147MB	stability index
time: 0.005; rss: 147MB	intrinsic checking
time: 0.003; rss: 147MB	effect checking
time: 0.028; rss: 147MB	match checking
time: 0.014; rss: 140MB	liveness checking
time: 0.031; rss: 140MB	rvalue checking
time: 0.118; rss: 186MB	MIR dump
  time: 0.009; rss: 188MB	SimplifyCfg
  time: 0.015; rss: 188MB	QualifyAndPromoteConstants
  time: 0.026; rss: 188MB	TypeckMir
  time: 0.000; rss: 188MB	SimplifyBranches
  time: 0.005; rss: 188MB	SimplifyCfg
time: 0.055; rss: 188MB	MIR passes
time: 0.096; rss: 192MB	borrow checking
time: 0.003; rss: 192MB	reachability checking
time: 0.007; rss: 192MB	death checking
time: 0.009; rss: 192MB	stability checking
time: 0.000; rss: 192MB	unused lib feature checking
time: 0.065; rss: 192MB	lint checking
time: 0.000; rss: 192MB	resolving dependency formats
  time: 0.000; rss: 192MB	NoLandingPads
  time: 0.004; rss: 192MB	SimplifyCfg
  time: 0.010; rss: 192MB	EraseRegions
  time: 0.001; rss: 192MB	AddCallGuards
  time: 0.083; rss: 197MB	ElaborateDrops
  time: 0.000; rss: 197MB	NoLandingPads
  time: 0.007; rss: 191MB	SimplifyCfg
  time: 0.001; rss: 191MB	Deaggregator
  time: 0.001; rss: 191MB	AddCallGuards
  time: 0.000; rss: 191MB	PreTrans
time: 0.108; rss: 191MB	Prepare MIR codegen passes
  time: 0.060; rss: 191MB	write metadata
  time: 0.043; rss: 194MB	translation item collection
  time: 0.006; rss: 194MB	codegen unit partitioning
  time: 0.011; rss: 212MB	internalize symbols
time: 0.443; rss: 186MB	translation
time: 0.000; rss: 186MB	assert dep graph
time: 0.000; rss: 186MB	serialize dep graph
  time: 0.023; rss: 114MB	llvm function passes [0]
  time: 0.013; rss: 114MB	llvm module passes [0]
  time: 0.529; rss: 117MB	codegen passes [0]
  time: 0.001; rss: 117MB	codegen passes [0]
time: 0.609; rss: 117MB	LLVM passes
time: 0.000; rss: 117MB	serialize work products
time: 0.060; rss: 96MB	linking
done
