commit 704bcc0ddafc0b3c3f4879286204442d43169e30
Merge: 91f34c0 d68f7eb
Author: bors <bors@rust-lang.org>
Date:   Thu Sep 29 03:48:02 2016 -0700

    Auto merge of #36456 - alexcrichton:rustbuild-dont-use-c, r=jonathandturner
    
    rustbuild: Use current_dir instead of -C
    
    Apparently some versions of git don't support the `-C` flag, so let's use the
    guaranteed-to-work `current_dir` function.
rustc: ./html5ever-2016-08-25
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling html5ever v0.5.4 (file:///root/benchmarks/html5ever-2016-08-25)
time: 0.027; rss: 52MB	parsing
Lines of code:             8210
Pre-expansion node count:  52238
time: 0.000; rss: 52MB	recursion limit
time: 0.000; rss: 52MB	crate injection
time: 0.000; rss: 52MB	plugin loading
time: 0.000; rss: 52MB	plugin registration
time: 1.239; rss: 103MB	expansion
time: 0.000; rss: 103MB	maybe building test harness
time: 0.002; rss: 103MB	maybe creating a macro crate
Post-expansion node count: 163524
time: 0.000; rss: 103MB	checking for inline asm in case the target doesn't support it
time: 0.003; rss: 103MB	complete gated feature checking
time: 0.009; rss: 103MB	early lint checks
time: 0.002; rss: 103MB	AST validation
time: 0.018; rss: 107MB	name resolution
time: 0.016; rss: 122MB	lowering ast -> hir
time: 0.004; rss: 127MB	indexing hir
time: 0.002; rss: 127MB	attribute checking
time: 0.002; rss: 104MB	language item collection
time: 0.003; rss: 104MB	lifetime resolution
time: 0.000; rss: 104MB	looking for entry point
time: 0.000; rss: 104MB	looking for plugin registrar
time: 0.017; rss: 110MB	region resolution
time: 0.002; rss: 110MB	loop checking
time: 0.003; rss: 110MB	static item recursion checking
time: 0.024; rss: 111MB	compute_incremental_hashes_map
time: 0.000; rss: 111MB	load_dep_graph
time: 0.014; rss: 111MB	type collecting
time: 0.000; rss: 111MB	variance inference
time: 0.025; rss: 114MB	coherence checking
time: 0.025; rss: 115MB	wf checking
time: 0.358; rss: 125MB	item-types checking
time: 0.508; rss: 137MB	item-bodies checking
time: 0.000; rss: 137MB	drop-impl checking
time: 0.071; rss: 139MB	const checking
time: 0.009; rss: 139MB	privacy checking
time: 0.002; rss: 139MB	stability index
time: 0.004; rss: 139MB	intrinsic checking
time: 0.003; rss: 139MB	effect checking
time: 0.024; rss: 140MB	match checking
time: 0.013; rss: 133MB	liveness checking
time: 0.029; rss: 133MB	rvalue checking
time: 0.115; rss: 179MB	MIR dump
  time: 0.008; rss: 179MB	SimplifyCfg
  time: 0.014; rss: 179MB	QualifyAndPromoteConstants
  time: 0.024; rss: 179MB	TypeckMir
  time: 0.000; rss: 179MB	SimplifyBranches
  time: 0.005; rss: 179MB	SimplifyCfg
time: 0.052; rss: 179MB	MIR passes
time: 0.094; rss: 182MB	borrow checking
time: 0.003; rss: 182MB	reachability checking
time: 0.008; rss: 182MB	death checking
time: 0.009; rss: 182MB	stability checking
time: 0.000; rss: 182MB	unused lib feature checking
time: 0.067; rss: 182MB	lint checking
time: 0.000; rss: 182MB	resolving dependency formats
  time: 0.000; rss: 182MB	NoLandingPads
  time: 0.004; rss: 182MB	SimplifyCfg
  time: 0.010; rss: 182MB	EraseRegions
  time: 0.001; rss: 182MB	AddCallGuards
  time: 0.078; rss: 184MB	ElaborateDrops
  time: 0.000; rss: 184MB	NoLandingPads
  time: 0.006; rss: 184MB	SimplifyCfg
  time: 0.008; rss: 181MB	InstCombine
  time: 0.001; rss: 181MB	Deaggregator
  time: 0.000; rss: 181MB	CopyPropagation
  time: 0.001; rss: 181MB	AddCallGuards
  time: 0.000; rss: 181MB	PreTrans
time: 0.110; rss: 181MB	Prepare MIR codegen passes
  time: 0.051; rss: 181MB	write metadata
  time: 0.052; rss: 183MB	translation item collection
  time: 0.006; rss: 183MB	codegen unit partitioning
  time: 0.007; rss: 199MB	internalize symbols
time: 0.366; rss: 172MB	translation
time: 0.000; rss: 172MB	assert dep graph
time: 0.000; rss: 172MB	serialize dep graph
  time: 0.020; rss: 103MB	llvm function passes [0]
  time: 0.012; rss: 104MB	llvm module passes [0]
  time: 0.470; rss: 109MB	codegen passes [0]
  time: 0.001; rss: 109MB	codegen passes [0]
time: 0.541; rss: 109MB	LLVM passes
time: 0.000; rss: 109MB	serialize work products
time: 0.058; rss: 91MB	linking
done
