commit ea798527e42379af207b3da9e9aef41fd7e812c8
Merge: f82b7cb 59a5254
Author: bors <bors@rust-lang.org>
Date:   Sun Dec 11 01:06:20 2016 +0000

    Auto merge of #38240 - pftbest:update_llvm, r=japaric
    
    LLVM: Update submodule to include patches for MSP430.
    
    Fixes #37829
rustc: ./html5ever-2016-08-25
cargo rustc  -- -Ztime-passes -Zinput-stats
time: 0.039; rss: 44MB	parsing
Lines of code:             8210
Pre-expansion node count:  52140
time: 0.000; rss: 44MB	recursion limit
time: 0.000; rss: 44MB	crate injection
time: 0.000; rss: 44MB	plugin loading
time: 0.000; rss: 44MB	plugin registration
time: 0.729; rss: 96MB	expansion
time: 0.000; rss: 96MB	maybe building test harness
time: 0.002; rss: 96MB	maybe creating a macro crate
Post-expansion node count: 163412
time: 0.000; rss: 96MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 96MB	complete gated feature checking
time: 0.008; rss: 96MB	early lint checks
time: 0.002; rss: 96MB	AST validation
time: 0.020; rss: 100MB	name resolution
time: 0.032; rss: 110MB	lowering ast -> hir
time: 0.004; rss: 112MB	indexing hir
time: 0.002; rss: 112MB	attribute checking
time: 0.001; rss: 93MB	language item collection
time: 0.002; rss: 93MB	lifetime resolution
time: 0.000; rss: 93MB	looking for entry point
time: 0.000; rss: 93MB	looking for plugin registrar
time: 0.014; rss: 99MB	region resolution
time: 0.001; rss: 99MB	loop checking
time: 0.001; rss: 99MB	static item recursion checking
time: 0.023; rss: 99MB	compute_incremental_hashes_map
time: 0.000; rss: 99MB	load_dep_graph
time: 0.001; rss: 99MB	stability index
time: 0.003; rss: 99MB	stability checking
time: 0.009; rss: 101MB	type collecting
time: 0.000; rss: 101MB	variance inference
time: 0.000; rss: 101MB	impl wf inference
time: 0.011; rss: 103MB	coherence checking
time: 0.019; rss: 103MB	wf checking
time: 0.349; rss: 108MB	item-types checking
time: 0.417; rss: 121MB	item-bodies checking
time: 0.000; rss: 121MB	drop-impl checking
time: 0.059; rss: 128MB	const checking
time: 0.006; rss: 128MB	privacy checking
time: 0.002; rss: 128MB	intrinsic checking
time: 0.002; rss: 128MB	effect checking
time: 0.014; rss: 128MB	match checking
time: 0.030; rss: 123MB	liveness checking
time: 0.022; rss: 123MB	rvalue checking
time: 0.115; rss: 161MB	MIR dump
  time: 0.009; rss: 162MB	SimplifyCfg
  time: 0.014; rss: 163MB	QualifyAndPromoteConstants
  time: 0.022; rss: 163MB	TypeckMir
  time: 0.000; rss: 163MB	SimplifyBranches
  time: 0.004; rss: 164MB	SimplifyCfg
time: 0.049; rss: 164MB	MIR cleanup and validation
time: 0.082; rss: 170MB	borrow checking
time: 0.002; rss: 170MB	reachability checking
time: 0.005; rss: 170MB	death checking
time: 0.000; rss: 170MB	unused lib feature checking
time: 0.052; rss: 171MB	lint checking
time: 0.000; rss: 171MB	resolving dependency formats
  time: 0.000; rss: 171MB	NoLandingPads
  time: 0.004; rss: 171MB	SimplifyCfg
  time: 0.009; rss: 171MB	EraseRegions
  time: 0.001; rss: 171MB	AddCallGuards
  time: 0.081; rss: 174MB	ElaborateDrops
  time: 0.000; rss: 174MB	NoLandingPads
  time: 0.007; rss: 171MB	SimplifyCfg
  time: 0.007; rss: 171MB	InstCombine
  time: 0.001; rss: 171MB	Deaggregator
  time: 0.000; rss: 171MB	CopyPropagation
  time: 0.007; rss: 169MB	SimplifyLocals
  time: 0.001; rss: 169MB	AddCallGuards
  time: 0.000; rss: 169MB	PreTrans
time: 0.119; rss: 169MB	MIR optimisations
  time: 0.011; rss: 170MB	write metadata
  time: 0.059; rss: 183MB	translation item collection
  time: 0.004; rss: 183MB	codegen unit partitioning
  time: 0.005; rss: 197MB	internalize symbols
time: 0.345; rss: 197MB	translation
time: 0.000; rss: 197MB	assert dep graph
time: 0.000; rss: 197MB	serialize dep graph
  time: 0.021; rss: 107MB	llvm function passes [0]
  time: 0.015; rss: 109MB	llvm module passes [0]
  time: 0.483; rss: 111MB	codegen passes [0]
  time: 0.000; rss: 111MB	codegen passes [0]
time: 0.559; rss: 111MB	LLVM passes
time: 0.000; rss: 111MB	serialize work products
time: 0.025; rss: 94MB	linking
done
