commit e518c057f5b55523655aa5ea0fb624c693fc8bb4
Merge: 414d68e e8e3c6f
Author: bors <bors@rust-lang.org>
Date:   Fri Oct 23 03:13:10 2015 +0000

    Auto merge of #27894 - steveklabnik:gh26888, r=alexcrichton
    
    {BTree,Hash}{Map,Set} will not update their key if it already exists, which
    can matter with more complex keys. This behavior is now documented.
    
    Fixes #26888
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.026; rss: 37MB	parsing
time: 0.009; rss: 41MB	configuration 1
time: 0.000; rss: 41MB	recursion limit
time: 0.000; rss: 41MB	gated macro checking
time: 0.000; rss: 41MB	crate injection
time: 0.004; rss: 46MB	macro loading
time: 0.000; rss: 46MB	plugin loading
time: 0.000; rss: 46MB	plugin registration
time: 0.172; rss: 55MB	expansion
time: 0.006; rss: 55MB	complete gated feature checking 1
time: 0.030; rss: 55MB	configuration 2
time: 0.000; rss: 55MB	gated configuration checking
time: 0.013; rss: 55MB	maybe building test harness
time: 0.010; rss: 55MB	prelude injection
time: 0.001; rss: 55MB	checking that all macro invocations are gone
time: 0.000; rss: 55MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 55MB	complete gated feature checking 2
time: 0.010; rss: 55MB	assigning node ids
time: 0.008; rss: 60MB	lowering ast -> hir
time: 0.005; rss: 64MB	indexing hir
time: 0.000; rss: 64MB	attribute checking
time: 0.005; rss: 64MB	early lint checks
time: 0.003; rss: 65MB	external crate/lib resolution
time: 0.002; rss: 65MB	language item collection
time: 0.032; rss: 89MB	resolution
time: 0.002; rss: 89MB	lifetime resolution
time: 0.000; rss: 89MB	looking for entry point
time: 0.001; rss: 89MB	looking for plugin registrar
time: 0.006; rss: 89MB	region resolution
time: 0.001; rss: 89MB	loop checking
time: 0.001; rss: 89MB	static item recursion checking
time: 0.014; rss: 93MB	type collecting
time: 0.002; rss: 93MB	variance inference
time: 0.044; rss: 111MB	coherence checking
time: 0.027; rss: 111MB	wf checking (old)
time: 0.025; rss: 111MB	item-types checking
time: 0.529; rss: 128MB	item-bodies checking
time: 0.000; rss: 128MB	drop-impl checking
time: 0.085; rss: 130MB	wf checking (new)
time: 0.050; rss: 130MB	const checking
time: 0.008; rss: 130MB	privacy checking
time: 0.000; rss: 130MB	stability index
time: 0.004; rss: 130MB	intrinsic checking
time: 0.002; rss: 130MB	effect checking
time: 0.012; rss: 130MB	match checking
time: 0.059; rss: 147MB	MIR dump
time: 0.006; rss: 147MB	liveness checking
time: 0.077; rss: 147MB	borrow checking
time: 0.053; rss: 152MB	rvalue checking
time: 0.003; rss: 152MB	reachability checking
time: 0.007; rss: 152MB	death checking
time: 0.005; rss: 152MB	stability checking
time: 0.000; rss: 152MB	unused lib feature checking
time: 0.042; rss: 152MB	lint checking
time: 0.000; rss: 152MB	resolving dependency formats
time: 1.436; rss: 288MB	translation
  time: 0.102; rss: 173MB	llvm function passes
  time: 0.051; rss: 174MB	llvm module passes
  time: 1.694; rss: 220MB	codegen passes
  time: 0.001; rss: 180MB	codegen passes
time: 2.075; rss: 180MB	LLVM passes
time: 0.179; rss: 180MB	linking
done
