commit 43869e94ab9981883252b1f5661095cffa1cc44e
Merge: 8d41c6f 77053e2
Author: bors <bors@rust-lang.org>
Date:   Sat Oct 24 09:15:14 2015 +0000

    Auto merge of #29260 - GuillaumeGomez:E0211_improvement, r=Manishearth
    
    r? @Manishearth
    
    cc #29248
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.027; rss: 38MB	parsing
time: 0.009; rss: 41MB	configuration 1
time: 0.000; rss: 41MB	recursion limit
time: 0.000; rss: 41MB	gated macro checking
time: 0.000; rss: 41MB	crate injection
time: 0.004; rss: 46MB	macro loading
time: 0.000; rss: 46MB	plugin loading
time: 0.000; rss: 46MB	plugin registration
time: 0.171; rss: 56MB	expansion
time: 0.005; rss: 56MB	complete gated feature checking 1
time: 0.030; rss: 56MB	configuration 2
time: 0.000; rss: 56MB	gated configuration checking
time: 0.013; rss: 56MB	maybe building test harness
time: 0.010; rss: 56MB	prelude injection
time: 0.001; rss: 56MB	checking that all macro invocations are gone
time: 0.000; rss: 56MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 56MB	complete gated feature checking 2
time: 0.010; rss: 56MB	assigning node ids
time: 0.007; rss: 60MB	lowering ast -> hir
time: 0.005; rss: 64MB	indexing hir
time: 0.000; rss: 64MB	attribute checking
time: 0.005; rss: 64MB	early lint checks
time: 0.003; rss: 64MB	external crate/lib resolution
time: 0.002; rss: 64MB	language item collection
time: 0.030; rss: 91MB	resolution
time: 0.002; rss: 92MB	lifetime resolution
time: 0.000; rss: 92MB	looking for entry point
time: 0.001; rss: 92MB	looking for plugin registrar
time: 0.006; rss: 92MB	region resolution
time: 0.001; rss: 92MB	loop checking
time: 0.001; rss: 92MB	static item recursion checking
time: 0.014; rss: 95MB	type collecting
time: 0.002; rss: 95MB	variance inference
time: 0.043; rss: 112MB	coherence checking
time: 0.027; rss: 112MB	wf checking (old)
time: 0.025; rss: 112MB	item-types checking
time: 0.527; rss: 129MB	item-bodies checking
time: 0.000; rss: 129MB	drop-impl checking
time: 0.085; rss: 129MB	wf checking (new)
time: 0.050; rss: 129MB	const checking
time: 0.009; rss: 129MB	privacy checking
time: 0.000; rss: 129MB	stability index
time: 0.004; rss: 129MB	intrinsic checking
time: 0.002; rss: 129MB	effect checking
time: 0.012; rss: 129MB	match checking
time: 0.058; rss: 148MB	MIR dump
time: 0.006; rss: 148MB	liveness checking
time: 0.076; rss: 148MB	borrow checking
time: 0.053; rss: 150MB	rvalue checking
time: 0.003; rss: 150MB	reachability checking
time: 0.007; rss: 150MB	death checking
time: 0.005; rss: 150MB	stability checking
time: 0.000; rss: 150MB	unused lib feature checking
time: 0.043; rss: 150MB	lint checking
time: 0.000; rss: 150MB	resolving dependency formats
time: 1.425; rss: 288MB	translation
  time: 0.102; rss: 173MB	llvm function passes
  time: 0.052; rss: 174MB	llvm module passes
  time: 1.704; rss: 219MB	codegen passes
  time: 0.001; rss: 179MB	codegen passes
time: 2.086; rss: 179MB	LLVM passes
time: 0.184; rss: 179MB	linking
done
