commit 3042fedb4f50640e2c9a02297c5ce9a1f3ffaa5a
Merge: 57c8a3e 7b9b9df
Author: bors <bors@rust-lang.org>
Date:   Mon Nov 16 17:18:21 2015 +0000

    Auto merge of #29805 - norcalli:patch-1, r=steveklabnik
    
    Fixes #29730
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.028; rss: 41MB	parsing
time: 0.009; rss: 41MB	configuration 1
time: 0.000; rss: 41MB	recursion limit
time: 0.000; rss: 41MB	gated macro checking
time: 0.000; rss: 41MB	crate injection
time: 0.004; rss: 46MB	macro loading
time: 0.000; rss: 46MB	plugin loading
time: 0.000; rss: 46MB	plugin registration
time: 0.174; rss: 56MB	expansion
time: 0.005; rss: 56MB	complete gated feature checking 1
time: 0.029; rss: 56MB	configuration 2
time: 0.000; rss: 56MB	gated configuration checking
time: 0.013; rss: 56MB	maybe building test harness
time: 0.010; rss: 56MB	prelude injection
time: 0.001; rss: 56MB	checking that all macro invocations are gone
time: 0.000; rss: 56MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 56MB	complete gated feature checking 2
time: 0.010; rss: 56MB	assigning node ids
time: 0.007; rss: 61MB	lowering ast -> hir
time: 0.005; rss: 63MB	indexing hir
time: 0.000; rss: 63MB	attribute checking
time: 0.005; rss: 63MB	early lint checks
time: 0.003; rss: 64MB	external crate/lib resolution
time: 0.002; rss: 64MB	language item collection
time: 0.030; rss: 90MB	resolution
time: 0.002; rss: 90MB	lifetime resolution
time: 0.000; rss: 90MB	looking for entry point
time: 0.001; rss: 90MB	looking for plugin registrar
time: 0.005; rss: 90MB	region resolution
time: 0.001; rss: 90MB	loop checking
time: 0.001; rss: 90MB	static item recursion checking
time: 0.014; rss: 94MB	type collecting
time: 0.002; rss: 94MB	variance inference
time: 0.044; rss: 111MB	coherence checking
time: 0.027; rss: 111MB	wf checking (old)
time: 0.025; rss: 113MB	item-types checking
time: 0.529; rss: 130MB	item-bodies checking
time: 0.000; rss: 130MB	drop-impl checking
time: 0.088; rss: 130MB	wf checking (new)
time: 0.042; rss: 133MB	const checking
time: 0.009; rss: 133MB	privacy checking
time: 0.000; rss: 133MB	stability index
time: 0.004; rss: 133MB	intrinsic checking
time: 0.002; rss: 133MB	effect checking
time: 0.013; rss: 133MB	match checking
time: 0.051; rss: 146MB	MIR dump
time: 0.006; rss: 146MB	liveness checking
time: 0.071; rss: 146MB	borrow checking
time: 0.034; rss: 148MB	rvalue checking
time: 0.004; rss: 148MB	reachability checking
time: 0.007; rss: 148MB	death checking
time: 0.005; rss: 148MB	stability checking
time: 0.000; rss: 148MB	unused lib feature checking
time: 0.042; rss: 148MB	lint checking
time: 0.000; rss: 148MB	resolving dependency formats
time: 1.418; rss: 283MB	translation
  time: 0.099; rss: 177MB	llvm function passes [0]
  time: 0.055; rss: 177MB	llvm module passes [0]
  time: 1.690; rss: 222MB	codegen passes [0]
  time: 0.001; rss: 177MB	codegen passes [0]
time: 2.073; rss: 177MB	LLVM passes
time: 0.175; rss: 177MB	linking
done
