commit d70ab2bdf16c22b9f3ff0230089b44855e3f1593
Merge: 64a8ffe 926eb83
Author: bors <bors@rust-lang.org>
Date:   Fri Jan 8 22:42:10 2016 +0000

    Auto merge of #30782 - steveklabnik:rollup, r=steveklabnik
    
    - Successful merges: #30584, #30747, #30755, #30758, #30760, #30769
    - Failed merges: #30766
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.031; rss: 38MB	parsing
Lines of code:             9154
Pre-expansion node count:  45594
time: 0.009; rss: 38MB	configuration 1
time: 0.000; rss: 38MB	recursion limit
time: 0.000; rss: 38MB	gated macro checking
time: 0.000; rss: 38MB	crate injection
time: 0.004; rss: 43MB	macro loading
time: 0.000; rss: 43MB	plugin loading
time: 0.000; rss: 43MB	plugin registration
time: 0.209; rss: 52MB	expansion
time: 0.005; rss: 52MB	complete gated feature checking 1
time: 0.034; rss: 52MB	configuration 2
time: 0.000; rss: 52MB	gated configuration checking
time: 0.013; rss: 52MB	maybe building test harness
time: 0.011; rss: 52MB	prelude injection
time: 0.001; rss: 52MB	checking that all macro invocations are gone
time: 0.000; rss: 52MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 52MB	complete gated feature checking 2
Post-expansion node count: 109258
time: 0.011; rss: 52MB	assigning node ids
time: 0.019; rss: 57MB	lowering ast -> hir
time: 0.011; rss: 59MB	indexing hir
time: 0.000; rss: 59MB	attribute checking
time: 0.005; rss: 59MB	early lint checks
time: 0.003; rss: 54MB	external crate/lib resolution
time: 0.001; rss: 54MB	language item collection
time: 0.043; rss: 75MB	resolution
time: 0.002; rss: 75MB	lifetime resolution
time: 0.000; rss: 75MB	looking for entry point
time: 0.000; rss: 75MB	looking for plugin registrar
time: 0.007; rss: 78MB	region resolution
time: 0.001; rss: 78MB	loop checking
time: 0.001; rss: 78MB	static item recursion checking
time: 0.013; rss: 82MB	type collecting
time: 0.000; rss: 82MB	variance inference
time: 0.045; rss: 100MB	coherence checking
time: 0.070; rss: 101MB	wf checking
time: 0.026; rss: 102MB	item-types checking
time: 0.563; rss: 119MB	item-bodies checking
time: 0.000; rss: 119MB	drop-impl checking
time: 0.049; rss: 121MB	const checking
time: 0.010; rss: 121MB	privacy checking
time: 0.001; rss: 121MB	stability index
time: 0.004; rss: 121MB	intrinsic checking
time: 0.002; rss: 121MB	effect checking
time: 0.013; rss: 121MB	match checking
time: 0.054; rss: 125MB	MIR dump
time: 0.006; rss: 125MB	liveness checking
time: 0.075; rss: 125MB	borrow checking
time: 0.037; rss: 125MB	rvalue checking
time: 0.003; rss: 125MB	reachability checking
time: 0.006; rss: 125MB	death checking
time: 0.007; rss: 125MB	stability checking
time: 0.000; rss: 125MB	unused lib feature checking
time: 0.048; rss: 125MB	lint checking
time: 0.000; rss: 125MB	resolving dependency formats
time: 0.011; rss: 126MB	erasing regions from MIR
  time: 0.139; rss: 259MB	write metadata
time: 1.614; rss: 259MB	translation
  time: 0.101; rss: 165MB	llvm function passes [0]
  time: 0.052; rss: 165MB	llvm module passes [0]
  time: 1.645; rss: 210MB	codegen passes [0]
  time: 0.001; rss: 167MB	codegen passes [0]
time: 2.035; rss: 167MB	LLVM passes
time: 0.176; rss: 166MB	linking
done
