commit 52cb8a9d39d05126a79e7b9a3adc31a5e3cdde94
Merge: 504ca6f 95560c1
Author: bors <bors@rust-lang.org>
Date:   Mon Feb 29 17:39:26 2016 +0000

    Auto merge of #31928 - alexcrichton:stabilize-1.8, r=aturon
    
    This commit is the result of the FCPs ending for the 1.8 release cycle for both
    the libs and the lang suteams. The full list of changes are:
    
    Stabilized
    
    * `braced_empty_structs`
    * `augmented_assignments`
    * `str::encode_utf16` - renamed from `utf16_units`
    * `str::EncodeUtf16` - renamed from `Utf16Units`
    * `Ref::map`
    * `RefMut::map`
    * `ptr::drop_in_place`
    * `time::Instant`
    * `time::SystemTime`
    * `{Instant,SystemTime}::now`
    * `{Instant,SystemTime}::duration_since` - renamed from `duration_from_earlier`
    * `{Instant,SystemTime}::elapsed`
    * Various `Add`/`Sub` impls for `Time` and `SystemTime`
    * `SystemTimeError`
    * `SystemTimeError::duration`
    * Various impls for `SystemTimeError`
    * `UNIX_EPOCH`
    * `ops::{Add,Sub,Mul,Div,Rem,BitAnd,BitOr,BitXor,Shl,Shr}Assign`
    
    Deprecated
    
    * Scoped TLS (the `scoped_thread_local!` macro)
    * `Ref::filter_map`
    * `RefMut::filter_map`
    * `RwLockReadGuard::map`
    * `RwLockWriteGuard::map`
    * `Condvar::wait_timeout_with`
    
    Closes #27714
    Closes #27715
    Closes #27746
    Closes #27748
    Closes #27908
    Closes #29866
    Closes #28235
    Closes #29720
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.044; rss: 39MB	parsing
Lines of code:             9154
Pre-expansion node count:  45594
time: 0.010; rss: 40MB	configuration 1
time: 0.000; rss: 40MB	recursion limit
time: 0.000; rss: 40MB	gated macro checking
time: 0.000; rss: 40MB	crate injection
time: 0.005; rss: 45MB	macro loading
time: 0.000; rss: 45MB	plugin loading
time: 0.000; rss: 45MB	plugin registration
time: 0.199; rss: 55MB	expansion
time: 0.005; rss: 55MB	complete gated feature checking 1
time: 0.034; rss: 55MB	configuration 2
time: 0.000; rss: 55MB	gated configuration checking
time: 0.014; rss: 55MB	maybe building test harness
time: 0.011; rss: 55MB	prelude injection
time: 0.001; rss: 55MB	checking that all macro invocations are gone
time: 0.000; rss: 55MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 55MB	complete gated feature checking 2
time: 0.001; rss: 55MB	const fn bodies and arguments
Post-expansion node count: 109258
time: 0.010; rss: 55MB	assigning node ids
time: 0.018; rss: 60MB	lowering ast -> hir
time: 0.006; rss: 62MB	indexing hir
time: 0.002; rss: 62MB	attribute checking
time: 0.007; rss: 62MB	early lint checks
time: 0.004; rss: 57MB	external crate/lib resolution
time: 0.001; rss: 57MB	language item collection
time: 0.031; rss: 76MB	resolution
time: 0.002; rss: 76MB	lifetime resolution
time: 0.000; rss: 76MB	looking for entry point
time: 0.000; rss: 76MB	looking for plugin registrar
time: 0.006; rss: 78MB	region resolution
time: 0.001; rss: 78MB	loop checking
time: 0.001; rss: 78MB	static item recursion checking
time: 0.012; rss: 83MB	type collecting
time: 0.000; rss: 83MB	variance inference
time: 0.040; rss: 100MB	coherence checking
time: 0.078; rss: 101MB	wf checking
time: 0.024; rss: 102MB	item-types checking
time: 0.511; rss: 118MB	item-bodies checking
time: 0.000; rss: 118MB	drop-impl checking
time: 0.042; rss: 120MB	const checking
time: 0.012; rss: 120MB	privacy checking
time: 0.001; rss: 120MB	stability index
time: 0.004; rss: 120MB	intrinsic checking
time: 0.002; rss: 120MB	effect checking
time: 0.012; rss: 120MB	match checking
time: 0.005; rss: 120MB	liveness checking
time: 0.034; rss: 120MB	rvalue checking
time: 0.066; rss: 124MB	MIR dump
time: 0.000; rss: 124MB	MIR passes
time: 0.067; rss: 125MB	borrow checking
time: 0.004; rss: 125MB	reachability checking
time: 0.007; rss: 125MB	death checking
time: 0.006; rss: 125MB	stability checking
time: 0.000; rss: 125MB	unused lib feature checking
time: 0.047; rss: 125MB	lint checking
time: 0.000; rss: 125MB	resolving dependency formats
time: 0.008; rss: 126MB	erasing regions from MIR
  time: 0.209; rss: 145MB	translation item collection
  time: 0.139; rss: 238MB	write metadata
time: 1.568; rss: 238MB	translation
  time: 0.100; rss: 162MB	llvm function passes [0]
  time: 0.047; rss: 163MB	llvm module passes [0]
  time: 1.655; rss: 168MB	codegen passes [0]
  time: 0.001; rss: 119MB	codegen passes [0]
time: 2.016; rss: 118MB	LLVM passes
time: 0.169; rss: 118MB	linking
done
