commit 388ccda455140e51456980efc07d175c19dcf005
Merge: 2f34986 b517256
Author: bors <bors@rust-lang.org>
Date:   Mon Mar 7 15:45:11 2016 +0000

    Auto merge of #32081 - cmbrandenburg:spell_fix, r=apasel422
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
    Updating registry `https://github.com/rust-lang/crates.io-index`
   Compiling unicase v0.1.0
   Compiling pkg-config v0.3.7
   Compiling bitflags v0.3.3
   Compiling matches v0.1.2
   Compiling winapi v0.2.5
   Compiling libc v0.1.12
   Compiling winapi-build v0.1.1
   Compiling typeable v0.1.2
   Compiling traitobject v0.0.1
   Compiling rustc-serialize v0.3.18
   Compiling gcc v0.3.25
   Compiling libc v0.2.8
   Compiling lazy_static v0.1.15
   Compiling httparse v0.1.6
   Compiling kernel32-sys v0.2.1
   Compiling num_cpus v0.2.11
   Compiling time v0.1.34
   Compiling log v0.3.5
   Compiling rand v0.3.14
   Compiling mime v0.0.11
   Compiling openssl-sys v0.6.7
   Compiling openssl v0.6.7
   Compiling uuid v0.1.18
   Compiling url v0.2.38
   Compiling cookie v0.1.21
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.041; rss: 37MB	parsing
Lines of code:             9154
Pre-expansion node count:  45594
time: 0.010; rss: 38MB	configuration 1
time: 0.000; rss: 38MB	recursion limit
time: 0.000; rss: 38MB	gated macro checking
time: 0.000; rss: 38MB	crate injection
time: 0.005; rss: 44MB	macro loading
time: 0.000; rss: 44MB	plugin loading
time: 0.000; rss: 44MB	plugin registration
time: 0.208; rss: 53MB	expansion
time: 0.006; rss: 53MB	complete gated feature checking 1
time: 0.035; rss: 53MB	configuration 2
time: 0.000; rss: 53MB	gated configuration checking
time: 0.014; rss: 53MB	maybe building test harness
time: 0.011; rss: 53MB	prelude injection
time: 0.001; rss: 53MB	checking that all macro invocations are gone
time: 0.000; rss: 53MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 53MB	complete gated feature checking 2
time: 0.001; rss: 53MB	const fn bodies and arguments
Post-expansion node count: 109138
time: 0.011; rss: 53MB	assigning node ids
time: 0.020; rss: 58MB	lowering ast -> hir
time: 0.010; rss: 60MB	indexing hir
time: 0.002; rss: 60MB	attribute checking
time: 0.007; rss: 60MB	early lint checks
time: 0.004; rss: 55MB	external crate/lib resolution
time: 0.001; rss: 55MB	language item collection
time: 0.030; rss: 73MB	resolution
time: 0.002; rss: 73MB	lifetime resolution
time: 0.000; rss: 73MB	looking for entry point
time: 0.000; rss: 73MB	looking for plugin registrar
time: 0.009; rss: 76MB	region resolution
time: 0.001; rss: 76MB	loop checking
time: 0.001; rss: 76MB	static item recursion checking
time: 0.013; rss: 78MB	type collecting
time: 0.000; rss: 78MB	variance inference
time: 0.043; rss: 97MB	coherence checking
time: 0.077; rss: 98MB	wf checking
time: 0.027; rss: 98MB	item-types checking
time: 0.518; rss: 117MB	item-bodies checking
time: 0.000; rss: 117MB	drop-impl checking
time: 0.042; rss: 118MB	const checking
time: 0.010; rss: 118MB	privacy checking
time: 0.001; rss: 118MB	stability index
time: 0.004; rss: 118MB	intrinsic checking
time: 0.002; rss: 118MB	effect checking
time: 0.012; rss: 118MB	match checking
time: 0.005; rss: 118MB	liveness checking
time: 0.033; rss: 118MB	rvalue checking
time: 0.065; rss: 124MB	MIR dump
time: 0.000; rss: 124MB	MIR passes
time: 0.067; rss: 124MB	borrow checking
time: 0.004; rss: 124MB	reachability checking
time: 0.006; rss: 124MB	death checking
time: 0.006; rss: 124MB	stability checking
time: 0.000; rss: 124MB	unused lib feature checking
time: 0.046; rss: 124MB	lint checking
time: 0.000; rss: 124MB	resolving dependency formats
time: 0.007; rss: 124MB	erasing regions from MIR
  time: 0.209; rss: 143MB	translation item collection
  time: 0.137; rss: 258MB	write metadata
time: 1.655; rss: 258MB	translation
  time: 0.094; rss: 154MB	llvm function passes [0]
  time: 0.048; rss: 156MB	llvm module passes [0]
  time: 1.625; rss: 156MB	codegen passes [0]
  time: 0.001; rss: 111MB	codegen passes [0]
time: 1.975; rss: 110MB	LLVM passes
time: 0.170; rss: 108MB	linking
done
