commit 3c795e08d6f4a532f12f3f8e1837db5e0647f8b0
Merge: d5759a3 5b40452
Author: bors <bors@rust-lang.org>
Date:   Thu May 26 02:52:49 2016 -0700

    Auto merge of #33872 - nagisa:undef-is-llvm-for-sigsegv, r=eddyb
    
    Fix handling of FFI arguments
    
    r? @eddyb @nikomatsakis or whoever else.
    
    cc @alexcrichton @rust-lang/core
    
    The strategy employed here was to essentially change code we generate from
    
    ```llvm
      %s = alloca %S ; potentially smaller than argument, but never larger
      %1 = bitcast %S* %s to { i64, i64 }*
      store { i64, i64 } %0, { i64, i64 }* %1, align 4
    ```
    
    to
    
    ```llvm
      %1 = alloca { i64, i64 } ; the copy of argument itself
      store { i64, i64 } %0, { i64, i64 }* %1, align 4
      %s = bitcast { i64, i64 }* %1 to %S* ; potentially truncate by casting to a pointer of smaller type.
    ```
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.050; rss: 49MB	parsing
Lines of code:             9154
Pre-expansion node count:  45851
time: 0.011; rss: 50MB	configuration 1
time: 0.000; rss: 50MB	recursion limit
time: 0.000; rss: 50MB	crate injection
time: 0.025; rss: 85MB	macro loading
time: 0.000; rss: 85MB	plugin loading
time: 0.000; rss: 85MB	plugin registration
time: 0.247; rss: 95MB	expansion
time: 0.037; rss: 95MB	configuration 2
time: 0.000; rss: 95MB	gated configuration checking
time: 0.014; rss: 95MB	maybe building test harness
time: 0.011; rss: 95MB	prelude injection
time: 0.001; rss: 95MB	checking that all macro invocations are gone
time: 0.000; rss: 95MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 95MB	complete gated feature checking
Post-expansion node count: 103616
time: 0.010; rss: 95MB	assigning node ids
time: 0.007; rss: 97MB	collecting defs
time: 0.011; rss: 107MB	external crate/lib resolution
time: 0.008; rss: 107MB	early lint checks
time: 0.030; rss: 111MB	name resolution
time: 0.024; rss: 118MB	lowering ast -> hir
time: 0.005; rss: 118MB	indexing hir
time: 0.002; rss: 118MB	attribute checking
time: 0.001; rss: 110MB	language item collection
time: 0.002; rss: 110MB	lifetime resolution
time: 0.000; rss: 110MB	looking for entry point
time: 0.000; rss: 110MB	looking for plugin registrar
time: 0.008; rss: 113MB	region resolution
time: 0.001; rss: 113MB	loop checking
time: 0.001; rss: 113MB	static item recursion checking
time: 0.000; rss: 113MB	load_dep_graph
time: 0.019; rss: 117MB	type collecting
time: 0.000; rss: 117MB	variance inference
time: 0.049; rss: 122MB	coherence checking
time: 0.104; rss: 123MB	wf checking
time: 0.038; rss: 123MB	item-types checking
time: 0.572; rss: 132MB	item-bodies checking
time: 0.000; rss: 132MB	drop-impl checking
time: 0.047; rss: 134MB	const checking
time: 0.010; rss: 134MB	privacy checking
time: 0.001; rss: 134MB	stability index
time: 0.006; rss: 134MB	intrinsic checking
time: 0.002; rss: 134MB	effect checking
time: 0.016; rss: 134MB	match checking
time: 0.005; rss: 134MB	liveness checking
time: 0.033; rss: 134MB	rvalue checking
time: 0.086; rss: 143MB	MIR dump
time: 0.047; rss: 144MB	MIR passes
time: 0.079; rss: 144MB	borrow checking
time: 0.003; rss: 144MB	reachability checking
time: 0.006; rss: 144MB	death checking
time: 0.006; rss: 144MB	stability checking
time: 0.000; rss: 144MB	unused lib feature checking
time: 0.054; rss: 144MB	lint checking
time: 0.000; rss: 144MB	resolving dependency formats
time: 0.013; rss: 146MB	Prepare MIR codegen passes
  time: 0.144; rss: 152MB	write metadata
  time: 0.314; rss: 157MB	translation item collection
  time: 0.007; rss: 158MB	codegen unit partitioning
time: 2.162; rss: 276MB	translation
time: 0.001; rss: 276MB	assert dep graph
time: 0.000; rss: 276MB	serialize dep graph
  time: 0.100; rss: 172MB	llvm function passes [0]
  time: 0.052; rss: 175MB	llvm module passes [0]
  time: 1.627; rss: 179MB	codegen passes [0]
  time: 0.001; rss: 126MB	codegen passes [0]
time: 2.057; rss: 125MB	LLVM passes
time: 0.177; rss: 122MB	linking
done
