commit 646015cae40722a06f9b2ed44d4b3e8bdebcc122
Merge: 1f9423a 9ac3d9b
Author: bors <bors@rust-lang.org>
Date:   Fri Jun 17 15:33:00 2016 -0700

    Auto merge of #34323 - GuillaumeGomez:unreachable_not_unreachable, r=pnkfelix
    
    Fix panic when using debug in rustc
    
    When I was using `println!("{:?}")` [here](https://github.com/rust-lang/rust/blob/master/src/librustc_resolve/lib.rs#L1610) and [here](https://github.com/rust-lang/rust/blob/master/src/librustc_typeck/collect.rs#L836), I was able to get into this `unreachache`.
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.031; rss: 52MB	parsing
Lines of code:             9154
Pre-expansion node count:  44646
time: 0.005; rss: 52MB	configuration
time: 0.000; rss: 52MB	recursion limit
time: 0.000; rss: 52MB	crate injection
time: 0.000; rss: 52MB	plugin loading
time: 0.000; rss: 52MB	plugin registration
time: 0.183; rss: 98MB	expansion
time: 0.000; rss: 98MB	maybe building test harness
time: 0.000; rss: 98MB	checking for inline asm in case the target doesn't support it
time: 0.003; rss: 98MB	complete gated feature checking
Post-expansion node count: 100536
time: 0.008; rss: 98MB	assigning node ids
time: 0.004; rss: 100MB	collecting defs
time: 0.011; rss: 110MB	external crate/lib resolution
time: 0.005; rss: 110MB	early lint checks
time: 0.001; rss: 110MB	AST validation
time: 0.025; rss: 116MB	name resolution
time: 0.010; rss: 121MB	lowering ast -> hir
time: 0.001; rss: 123MB	indexing hir
time: 0.001; rss: 123MB	attribute checking
time: 0.001; rss: 116MB	language item collection
time: 0.002; rss: 116MB	lifetime resolution
time: 0.000; rss: 116MB	looking for entry point
time: 0.000; rss: 116MB	looking for plugin registrar
time: 0.005; rss: 118MB	region resolution
time: 0.001; rss: 118MB	loop checking
time: 0.001; rss: 118MB	static item recursion checking
time: 0.000; rss: 118MB	load_dep_graph
time: 0.032; rss: 121MB	type collecting
time: 0.000; rss: 121MB	variance inference
time: 0.044; rss: 128MB	coherence checking
time: 0.094; rss: 131MB	wf checking
time: 0.035; rss: 131MB	item-types checking
time: 0.520; rss: 141MB	item-bodies checking
time: 0.000; rss: 141MB	drop-impl checking
time: 0.043; rss: 143MB	const checking
time: 0.007; rss: 143MB	privacy checking
time: 0.001; rss: 143MB	stability index
time: 0.006; rss: 143MB	intrinsic checking
time: 0.002; rss: 143MB	effect checking
time: 0.014; rss: 143MB	match checking
time: 0.005; rss: 143MB	liveness checking
time: 0.030; rss: 143MB	rvalue checking
time: 0.062; rss: 154MB	MIR dump
time: 0.042; rss: 154MB	MIR passes
time: 0.070; rss: 154MB	borrow checking
time: 0.003; rss: 154MB	reachability checking
time: 0.005; rss: 154MB	death checking
time: 0.006; rss: 154MB	stability checking
time: 0.000; rss: 154MB	unused lib feature checking
time: 0.048; rss: 154MB	lint checking
time: 0.000; rss: 154MB	resolving dependency formats
time: 0.092; rss: 156MB	Prepare MIR codegen passes
  time: 0.126; rss: 165MB	write metadata
  time: 0.181; rss: 168MB	translation item collection
  time: 0.008; rss: 168MB	codegen unit partitioning
time: 1.613; rss: 287MB	translation
time: 0.001; rss: 287MB	assert dep graph
time: 0.000; rss: 287MB	serialize dep graph
  time: 0.097; rss: 177MB	llvm function passes [0]
  time: 0.049; rss: 178MB	llvm module passes [0]
  time: 1.645; rss: 180MB	codegen passes [0]
  time: 0.001; rss: 132MB	codegen passes [0]
time: 1.991; rss: 132MB	LLVM passes
time: 0.172; rss: 130MB	linking
done
