commit 375fa6ef371a0ae248968d363226101ef741127e
Merge: 85c31af 1e48a72
Author: bors <bors@rust-lang.org>
Date:   Thu Jun 30 20:07:57 2016 -0700

    Auto merge of #34577 - alexcrichton:clean-more-yet-again, r=brson
    
    rustbuild: Clean out tmp directory on `make clean`
    
    Right now we generate error index information into this directory, but it's
    never cleaned out. This means that if a build *bounces* because of something in
    this directory it'll continue to cause all future builds to fail because the
    relevant files are never removed.
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.053; rss: 50MB	parsing
Lines of code:             9154
Pre-expansion node count:  44838
time: 0.006; rss: 50MB	configuration
time: 0.000; rss: 50MB	recursion limit
time: 0.000; rss: 50MB	crate injection
time: 0.000; rss: 50MB	plugin loading
time: 0.000; rss: 50MB	plugin registration
time: 0.180; rss: 88MB	expansion
time: 0.000; rss: 88MB	maybe building test harness
time: 0.000; rss: 88MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 88MB	complete gated feature checking
Post-expansion node count: 101579
time: 0.007; rss: 88MB	assigning node ids
time: 0.006; rss: 90MB	collecting defs
time: 0.011; rss: 99MB	external crate/lib resolution
time: 0.006; rss: 99MB	early lint checks
time: 0.001; rss: 99MB	AST validation
time: 0.023; rss: 105MB	name resolution
time: 0.020; rss: 113MB	lowering ast -> hir
time: 0.002; rss: 113MB	indexing hir
time: 0.001; rss: 113MB	attribute checking
time: 0.001; rss: 107MB	language item collection
time: 0.002; rss: 107MB	lifetime resolution
time: 0.000; rss: 107MB	looking for entry point
time: 0.000; rss: 107MB	looking for plugin registrar
time: 0.008; rss: 110MB	region resolution
time: 0.001; rss: 110MB	loop checking
time: 0.001; rss: 110MB	static item recursion checking
time: 0.000; rss: 110MB	load_dep_graph
time: 0.032; rss: 113MB	type collecting
time: 0.000; rss: 113MB	variance inference
time: 0.047; rss: 121MB	coherence checking
time: 0.100; rss: 122MB	wf checking
time: 0.036; rss: 122MB	item-types checking
time: 0.550; rss: 131MB	item-bodies checking
time: 0.000; rss: 131MB	drop-impl checking
time: 0.049; rss: 133MB	const checking
time: 0.009; rss: 133MB	privacy checking
time: 0.001; rss: 133MB	stability index
time: 0.006; rss: 133MB	intrinsic checking
time: 0.002; rss: 133MB	effect checking
time: 0.015; rss: 133MB	match checking
time: 0.004; rss: 133MB	liveness checking
time: 0.032; rss: 133MB	rvalue checking
time: 0.081; rss: 144MB	MIR dump
time: 0.045; rss: 145MB	MIR passes
time: 0.075; rss: 145MB	borrow checking
time: 0.003; rss: 145MB	reachability checking
time: 0.006; rss: 145MB	death checking
time: 0.006; rss: 145MB	stability checking
time: 0.000; rss: 145MB	unused lib feature checking
time: 0.049; rss: 146MB	lint checking
time: 0.000; rss: 146MB	resolving dependency formats
time: 0.094; rss: 150MB	Prepare MIR codegen passes
  time: 0.135; rss: 154MB	write metadata
  time: 0.193; rss: 158MB	translation item collection
  time: 0.007; rss: 158MB	codegen unit partitioning
time: 1.924; rss: 275MB	translation
time: 0.000; rss: 275MB	assert dep graph
time: 0.000; rss: 275MB	serialize dep graph
  time: 0.099; rss: 170MB	llvm function passes [0]
  time: 0.051; rss: 173MB	llvm module passes [0]
  time: 1.648; rss: 173MB	codegen passes [0]
  time: 0.001; rss: 126MB	codegen passes [0]
time: 2.001; rss: 125MB	LLVM passes
time: 0.180; rss: 121MB	linking
done
