commit 2e29b126b60a19f491e7f1845dd98df50700e37a
Merge: d927fa4 09e73a5
Author: bors <bors@rust-lang.org>
Date:   Sun Aug 14 06:42:16 2016 -0700

    Auto merge of #35534 - michaelwoerister:fix-const-collection2, r=nikomatsakis
    
    Make the translation item collector handle *uses* of 'const' items instead of declarations.
    
    This should fix issue #34754.
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.041; rss: 51MB	parsing
Lines of code:             9154
Pre-expansion node count:  44838
time: 0.003; rss: 52MB	configuration
time: 0.000; rss: 52MB	recursion limit
time: 0.000; rss: 52MB	crate injection
time: 0.000; rss: 52MB	plugin loading
time: 0.000; rss: 52MB	plugin registration
time: 0.101; rss: 91MB	expansion
time: 0.000; rss: 91MB	maybe building test harness
time: 0.005; rss: 91MB	assigning node ids
Post-expansion node count: 101581
time: 0.000; rss: 91MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 91MB	complete gated feature checking
time: 0.003; rss: 93MB	collecting defs
time: 0.013; rss: 103MB	external crate/lib resolution
time: 0.003; rss: 103MB	early lint checks
time: 0.001; rss: 103MB	AST validation
time: 0.026; rss: 109MB	name resolution
time: 0.018; rss: 115MB	lowering ast -> hir
time: 0.005; rss: 117MB	indexing hir
time: 0.001; rss: 117MB	attribute checking
time: 0.001; rss: 110MB	language item collection
time: 0.002; rss: 110MB	lifetime resolution
time: 0.000; rss: 110MB	looking for entry point
time: 0.000; rss: 110MB	looking for plugin registrar
time: 0.011; rss: 113MB	region resolution
time: 0.001; rss: 113MB	loop checking
time: 0.001; rss: 113MB	static item recursion checking
time: 0.000; rss: 113MB	load_dep_graph
time: 0.024; rss: 115MB	type collecting
time: 0.000; rss: 115MB	variance inference
time: 0.046; rss: 123MB	coherence checking
time: 0.082; rss: 124MB	wf checking
time: 0.032; rss: 125MB	item-types checking
time: 0.498; rss: 134MB	item-bodies checking
time: 0.000; rss: 134MB	drop-impl checking
time: 0.048; rss: 137MB	const checking
time: 0.008; rss: 137MB	privacy checking
time: 0.001; rss: 137MB	stability index
time: 0.005; rss: 137MB	intrinsic checking
time: 0.002; rss: 137MB	effect checking
time: 0.013; rss: 137MB	match checking
time: 0.004; rss: 137MB	liveness checking
time: 0.031; rss: 137MB	rvalue checking
time: 0.072; rss: 148MB	MIR dump
time: 0.040; rss: 148MB	MIR passes
time: 0.070; rss: 149MB	borrow checking
time: 0.003; rss: 149MB	reachability checking
time: 0.006; rss: 149MB	death checking
time: 0.006; rss: 149MB	stability checking
time: 0.000; rss: 149MB	unused lib feature checking
time: 0.051; rss: 149MB	lint checking
time: 0.000; rss: 149MB	resolving dependency formats
time: 0.096; rss: 151MB	Prepare MIR codegen passes
  time: 0.134; rss: 156MB	write metadata
  time: 0.177; rss: 162MB	translation item collection
  time: 0.019; rss: 164MB	codegen unit partitioning
  time: 0.034; rss: 289MB	internalize symbols
time: 2.030; rss: 289MB	translation
time: 0.000; rss: 289MB	assert dep graph
time: 0.000; rss: 289MB	serialize dep graph
  time: 0.101; rss: 181MB	llvm function passes [0]
  time: 0.048; rss: 183MB	llvm module passes [0]
  time: 1.823; rss: 186MB	codegen passes [0]
  time: 0.001; rss: 186MB	codegen passes [0]
time: 2.133; rss: 186MB	LLVM passes
time: 0.000; rss: 186MB	serialize work products
time: 0.163; rss: 119MB	linking
done
