commit eaf71f8d1034f16140791f566cab3f3c9a0bf96a
Merge: e07dd59 a9a2979
Author: bors <bors@rust-lang.org>
Date:   Thu Aug 25 20:45:32 2016 -0700

    Auto merge of #35906 - jseyfried:local_prelude, r=eddyb
    
    Use `#[prelude_import]` in `libcore` and `libstd`
    
    r? @eddyb
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.041; rss: 43MB	parsing
Lines of code:             9154
Pre-expansion node count:  44838
time: 0.003; rss: 44MB	configuration
time: 0.000; rss: 44MB	recursion limit
time: 0.000; rss: 44MB	crate injection
time: 0.000; rss: 44MB	plugin loading
time: 0.000; rss: 44MB	plugin registration
time: 0.101; rss: 68MB	expansion
time: 0.000; rss: 68MB	maybe building test harness
time: 0.005; rss: 68MB	assigning node ids
Post-expansion node count: 101581
time: 0.000; rss: 68MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 68MB	complete gated feature checking
time: 0.003; rss: 70MB	collecting defs
time: 0.013; rss: 78MB	external crate/lib resolution
time: 0.004; rss: 78MB	early lint checks
time: 0.001; rss: 78MB	AST validation
time: 0.026; rss: 83MB	name resolution
time: 0.017; rss: 89MB	lowering ast -> hir
time: 0.003; rss: 91MB	indexing hir
time: 0.001; rss: 91MB	attribute checking
time: 0.001; rss: 84MB	language item collection
time: 0.002; rss: 84MB	lifetime resolution
time: 0.000; rss: 84MB	looking for entry point
time: 0.000; rss: 84MB	looking for plugin registrar
time: 0.009; rss: 87MB	region resolution
time: 0.001; rss: 87MB	loop checking
time: 0.001; rss: 87MB	static item recursion checking
time: 0.013; rss: 86MB	compute_incremental_hashes_map
time: 0.000; rss: 86MB	load_dep_graph
time: 0.024; rss: 89MB	type collecting
time: 0.000; rss: 89MB	variance inference
time: 0.039; rss: 94MB	coherence checking
time: 0.067; rss: 96MB	wf checking
time: 0.029; rss: 96MB	item-types checking
time: 0.422; rss: 106MB	item-bodies checking
time: 0.000; rss: 106MB	drop-impl checking
time: 0.043; rss: 108MB	const checking
time: 0.008; rss: 108MB	privacy checking
time: 0.001; rss: 108MB	stability index
time: 0.006; rss: 108MB	intrinsic checking
time: 0.002; rss: 108MB	effect checking
time: 0.013; rss: 108MB	match checking
time: 0.005; rss: 108MB	liveness checking
time: 0.028; rss: 108MB	rvalue checking
time: 0.082; rss: 125MB	MIR dump
time: 0.044; rss: 126MB	MIR passes
time: 0.066; rss: 126MB	borrow checking
time: 0.003; rss: 126MB	reachability checking
time: 0.006; rss: 127MB	death checking
time: 0.005; rss: 127MB	stability checking
time: 0.000; rss: 127MB	unused lib feature checking
time: 0.043; rss: 127MB	lint checking
time: 0.000; rss: 127MB	resolving dependency formats
time: 0.088; rss: 130MB	Prepare MIR codegen passes
  time: 0.059; rss: 133MB	write metadata
  time: 0.156; rss: 139MB	translation item collection
  time: 0.019; rss: 142MB	codegen unit partitioning
  time: 0.034; rss: 204MB	internalize symbols
time: 1.642; rss: 194MB	translation
time: 0.000; rss: 194MB	assert dep graph
time: 0.000; rss: 194MB	serialize dep graph
  time: 0.102; rss: 152MB	llvm function passes [0]
  time: 0.049; rss: 154MB	llvm module passes [0]
  time: 1.833; rss: 157MB	codegen passes [0]
  time: 0.001; rss: 158MB	codegen passes [0]
time: 2.187; rss: 158MB	LLVM passes
time: 0.000; rss: 158MB	serialize work products
time: 0.158; rss: 90MB	linking
done
