commit 2a44315fc72d2ab123344dd65b6b2129dff30aaa
Merge: 5fe733a 6829c3d
Author: bors <bors@rust-lang.org>
Date:   Sun Nov 6 09:34:15 2016 -0800

    Auto merge of #37616 - jneem:master, r=alexcrichton
    
    Add test for issue 18060.
    
    Closes #18060
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.035; rss: 45MB	parsing
Lines of code:             9003
Pre-expansion node count:  44129
time: 0.000; rss: 45MB	recursion limit
time: 0.000; rss: 45MB	crate injection
time: 0.000; rss: 45MB	plugin loading
time: 0.000; rss: 45MB	plugin registration
time: 0.103; rss: 83MB	expansion
time: 0.000; rss: 83MB	maybe building test harness
time: 0.001; rss: 83MB	maybe creating a macro crate
Post-expansion node count: 101823
time: 0.000; rss: 83MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 83MB	complete gated feature checking
time: 0.003; rss: 83MB	early lint checks
time: 0.001; rss: 83MB	AST validation
time: 0.021; rss: 88MB	name resolution
time: 0.014; rss: 91MB	lowering ast -> hir
time: 0.001; rss: 92MB	indexing hir
time: 0.001; rss: 92MB	attribute checking
time: 0.001; rss: 87MB	language item collection
time: 0.002; rss: 87MB	lifetime resolution
time: 0.000; rss: 87MB	looking for entry point
time: 0.000; rss: 87MB	looking for plugin registrar
time: 0.008; rss: 90MB	region resolution
time: 0.001; rss: 90MB	loop checking
time: 0.001; rss: 90MB	static item recursion checking
time: 0.037; rss: 90MB	compute_incremental_hashes_map
time: 0.000; rss: 90MB	load_dep_graph
time: 0.015; rss: 92MB	type collecting
time: 0.000; rss: 92MB	variance inference
time: 0.036; rss: 96MB	coherence checking
time: 0.044; rss: 98MB	wf checking
time: 0.026; rss: 99MB	item-types checking
time: 0.346; rss: 108MB	item-bodies checking
time: 0.000; rss: 108MB	drop-impl checking
time: 0.031; rss: 108MB	const checking
time: 0.006; rss: 108MB	privacy checking
time: 0.001; rss: 108MB	stability index
time: 0.003; rss: 108MB	intrinsic checking
time: 0.002; rss: 108MB	effect checking
time: 0.008; rss: 108MB	match checking
time: 0.004; rss: 108MB	liveness checking
time: 0.022; rss: 108MB	rvalue checking
time: 0.081; rss: 127MB	MIR dump
  time: 0.007; rss: 127MB	SimplifyCfg
  time: 0.012; rss: 127MB	QualifyAndPromoteConstants
  time: 0.014; rss: 127MB	TypeckMir
  time: 0.001; rss: 127MB	SimplifyBranches
  time: 0.004; rss: 128MB	SimplifyCfg
time: 0.036; rss: 128MB	MIR cleanup and validation
time: 0.057; rss: 128MB	borrow checking
time: 0.003; rss: 128MB	reachability checking
time: 0.005; rss: 128MB	death checking
time: 0.005; rss: 129MB	stability checking
time: 0.000; rss: 129MB	unused lib feature checking
time: 0.041; rss: 131MB	lint checking
time: 0.000; rss: 131MB	resolving dependency formats
  time: 0.001; rss: 131MB	NoLandingPads
  time: 0.003; rss: 131MB	SimplifyCfg
  time: 0.008; rss: 131MB	EraseRegions
  time: 0.001; rss: 131MB	AddCallGuards
  time: 0.026; rss: 133MB	ElaborateDrops
  time: 0.001; rss: 133MB	NoLandingPads
  time: 0.005; rss: 133MB	SimplifyCfg
  time: 0.003; rss: 133MB	InstCombine
  time: 0.003; rss: 133MB	Deaggregator
  time: 0.001; rss: 133MB	CopyPropagation
  time: 0.004; rss: 133MB	SimplifyLocals
  time: 0.001; rss: 133MB	AddCallGuards
  time: 0.000; rss: 133MB	PreTrans
time: 0.057; rss: 133MB	MIR optimisations
  time: 0.019; rss: 136MB	write metadata
  time: 0.143; rss: 141MB	translation item collection
  time: 0.019; rss: 144MB	codegen unit partitioning
  time: 0.014; rss: 198MB	internalize symbols
time: 1.184; rss: 198MB	translation
time: 0.000; rss: 198MB	assert dep graph
time: 0.000; rss: 198MB	serialize dep graph
  time: 0.091; rss: 147MB	llvm function passes [0]
  time: 0.042; rss: 149MB	llvm module passes [0]
  time: 1.672; rss: 151MB	codegen passes [0]
  time: 0.000; rss: 151MB	codegen passes [0]
time: 1.977; rss: 151MB	LLVM passes
time: 0.000; rss: 151MB	serialize work products
time: 0.070; rss: 92MB	linking
done
