commit 936b32a514b73c1d3dfcbd9d17818f9f18bf4883
Merge: 0d61bb3 728cd03
Author: bors <bors@rust-lang.org>
Date:   Sat May 7 07:59:28 2016 -0700

    Auto merge of #33359 - tamird:consolidate-musl, r=alexcrichton
    
    rustc_back: use a common musl base
    
    extracted from #33327.
    
    cc #33189.
    
    r? @alexcrichton
rustc: ./inflate-0.1.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling inflate v0.1.0 (file:///root/benchmarks/inflate-0.1.0)
time: 0.004; rss: 46MB	parsing
Lines of code:             956
Pre-expansion node count:  4761
time: 0.001; rss: 51MB	configuration 1
time: 0.000; rss: 51MB	recursion limit
time: 0.000; rss: 51MB	crate injection
time: 0.003; rss: 53MB	macro loading
time: 0.000; rss: 53MB	plugin loading
time: 0.000; rss: 53MB	plugin registration
time: 0.084; rss: 60MB	expansion
time: 0.009; rss: 60MB	configuration 2
time: 0.000; rss: 60MB	gated configuration checking
time: 0.004; rss: 60MB	maybe building test harness
time: 0.004; rss: 60MB	prelude injection
time: 0.000; rss: 60MB	checking that all macro invocations are gone
time: 0.000; rss: 60MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 60MB	complete gated feature checking
time: 0.000; rss: 60MB	const fn bodies and arguments
Post-expansion node count: 54797
time: 0.004; rss: 60MB	assigning node ids
time: 0.004; rss: 63MB	collecting defs
time: 0.001; rss: 63MB	external crate/lib resolution
time: 0.009; rss: 67MB	lowering ast -> hir
time: 0.001; rss: 67MB	indexing hir
time: 0.001; rss: 67MB	attribute checking
time: 0.003; rss: 67MB	early lint checks
time: 0.001; rss: 64MB	language item collection
time: 0.010; rss: 75MB	name resolution
time: 0.001; rss: 75MB	lifetime resolution
time: 0.000; rss: 75MB	looking for entry point
time: 0.000; rss: 75MB	looking for plugin registrar
time: 0.003; rss: 75MB	region resolution
time: 0.000; rss: 75MB	loop checking
time: 0.000; rss: 75MB	static item recursion checking
time: 0.000; rss: 75MB	load_dep_graph
time: 0.001; rss: 76MB	type collecting
time: 0.000; rss: 76MB	variance inference
time: 0.010; rss: 89MB	coherence checking
time: 0.002; rss: 89MB	wf checking
time: 0.002; rss: 89MB	item-types checking
time: 2.820; rss: 115MB	item-bodies checking
time: 0.000; rss: 115MB	drop-impl checking
time: 0.014; rss: 116MB	const checking
time: 0.001; rss: 116MB	privacy checking
time: 0.000; rss: 116MB	stability index
time: 0.000; rss: 116MB	intrinsic checking
time: 0.001; rss: 116MB	effect checking
time: 0.003; rss: 116MB	match checking
time: 0.061; rss: 115MB	liveness checking
time: 0.009; rss: 115MB	rvalue checking
time: 0.034; rss: 129MB	MIR dump
time: 0.012; rss: 126MB	MIR passes
time: 0.203; rss: 126MB	borrow checking
time: 0.000; rss: 126MB	reachability checking
time: 0.003; rss: 126MB	death checking
time: 0.002; rss: 126MB	stability checking
time: 0.000; rss: 126MB	unused lib feature checking
time: 0.021; rss: 128MB	lint checking
time: 0.000; rss: 128MB	resolving dependency formats
time: 0.005; rss: 129MB	Prepare MIR codegen passes
  time: 0.010; rss: 133MB	translation item collection
  time: 0.001; rss: 133MB	codegen unit partitioning
  time: 0.003; rss: 151MB	write metadata
time: 0.360; rss: 143MB	translation
time: 0.000; rss: 143MB	assert dep graph
time: 0.000; rss: 143MB	serialize dep graph
  time: 0.026; rss: 105MB	llvm function passes [0]
  time: 0.004; rss: 106MB	llvm module passes [0]
  time: 0.495; rss: 111MB	codegen passes [0]
  time: 0.000; rss: 100MB	codegen passes [0]
time: 0.567; rss: 100MB	LLVM passes
time: 0.050; rss: 100MB	linking
done
