commit 44f020883eee01e3b4112bfac65b09a13e470c5c
Merge: d4b67cd 877d55c
Author: bors <bors@rust-lang.org>
Date:   Sat Jan 2 13:58:57 2016 +0000

    Auto merge of #30675 - jimmantooth:master, r=apasel422
rustc: ./jld-day15-parser
cargo rustc -- -Ztime-passes -Zinput-stats
    Updating registry `https://github.com/rust-lang/crates.io-index`
   Compiling combine v1.2.0
   Compiling day15 v0.1.0 (file:///root/benchmarks/jld-day15-parser)
time: 0.001; rss: 30MB	parsing
Lines of code:             72
Pre-expansion node count:  673
time: 0.000; rss: 30MB	configuration 1
time: 0.000; rss: 30MB	recursion limit
time: 0.000; rss: 30MB	gated macro checking
time: 0.000; rss: 30MB	crate injection
time: 0.003; rss: 33MB	macro loading
time: 0.000; rss: 33MB	plugin loading
time: 0.000; rss: 33MB	plugin registration
time: 0.002; rss: 33MB	expansion
time: 0.000; rss: 33MB	complete gated feature checking 1
time: 0.000; rss: 33MB	configuration 2
time: 0.000; rss: 33MB	gated configuration checking
time: 0.000; rss: 33MB	maybe building test harness
time: 0.000; rss: 33MB	prelude injection
time: 0.000; rss: 33MB	checking that all macro invocations are gone
time: 0.000; rss: 33MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 33MB	complete gated feature checking 2
Post-expansion node count: 1176
time: 0.000; rss: 33MB	assigning node ids
time: 0.000; rss: 33MB	lowering ast -> hir
time: 0.000; rss: 33MB	indexing hir
time: 0.000; rss: 33MB	attribute checking
time: 0.000; rss: 33MB	early lint checks
time: 0.001; rss: 33MB	external crate/lib resolution
time: 0.000; rss: 37MB	language item collection
time: 0.002; rss: 41MB	resolution
time: 0.000; rss: 41MB	lifetime resolution
time: 0.000; rss: 41MB	looking for entry point
time: 0.000; rss: 41MB	looking for plugin registrar
time: 0.000; rss: 41MB	region resolution
time: 0.000; rss: 41MB	loop checking
time: 0.000; rss: 41MB	static item recursion checking
time: 0.001; rss: 46MB	type collecting
time: 0.000; rss: 46MB	variance inference
time: 0.006; rss: 56MB	coherence checking
time: 0.005; rss: 56MB	wf checking
time: 0.000; rss: 56MB	item-types checking
time: 1.110; rss: 99MB	item-bodies checking
time: 0.000; rss: 99MB	drop-impl checking
time: 0.001; rss: 99MB	const checking
time: 0.000; rss: 99MB	privacy checking
time: 0.000; rss: 99MB	stability index
time: 0.000; rss: 99MB	intrinsic checking
time: 0.000; rss: 99MB	effect checking
time: 0.000; rss: 99MB	match checking
time: 0.001; rss: 99MB	MIR dump
time: 0.000; rss: 99MB	liveness checking
time: 0.001; rss: 99MB	borrow checking
time: 0.002; rss: 99MB	rvalue checking
time: 0.000; rss: 99MB	reachability checking
time: 0.000; rss: 99MB	death checking
time: 0.000; rss: 99MB	stability checking
time: 0.000; rss: 99MB	unused lib feature checking
time: 0.003; rss: 96MB	lint checking
time: 0.001; rss: 97MB	resolving dependency formats
time: 0.000; rss: 97MB	erasing regions from MIR
  time: 0.000; rss: 157MB	write metadata
time: 16.068; rss: 157MB	translation
  time: 0.014; rss: 87MB	llvm function passes [0]
  time: 0.002; rss: 87MB	llvm module passes [0]
  time: 0.265; rss: 98MB	codegen passes [0]
  time: 0.000; rss: 95MB	codegen passes [0]
time: 0.290; rss: 95MB	LLVM passes
  time: 0.035; rss: 100MB	running linker
time: 0.035; rss: 100MB	linking
done
