commit 57e5d43c770201d837298175a2d55818867bdb33
Merge: 953c3b5 e8ab71f
Author: bors <bors@rust-lang.org>
Date:   Tue Apr 5 10:55:38 2016 -0700

    Auto merge of #32743 - Manishearth:rollup, r=Manishearth
    
    Rollup of 11 pull requests
    
    - Successful merges: #32403, #32596, #32675, #32678, #32685, #32686, #32692, #32710, #32712, #32714, #32715
    - Failed merges: #32488
rustc: ./jld-day15-parser
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling day15 v0.1.0 (file:///root/benchmarks/jld-day15-parser)
time: 0.001; rss: 32MB	parsing
Lines of code:             72
Pre-expansion node count:  673
time: 0.000; rss: 33MB	configuration 1
time: 0.000; rss: 33MB	recursion limit
time: 0.000; rss: 33MB	gated macro checking
time: 0.000; rss: 33MB	crate injection
time: 0.003; rss: 38MB	macro loading
time: 0.000; rss: 38MB	plugin loading
time: 0.000; rss: 38MB	plugin registration
time: 0.002; rss: 39MB	expansion
time: 0.000; rss: 39MB	complete gated feature checking 1
time: 0.000; rss: 39MB	configuration 2
time: 0.000; rss: 39MB	gated configuration checking
time: 0.000; rss: 39MB	maybe building test harness
time: 0.000; rss: 39MB	prelude injection
time: 0.000; rss: 39MB	checking that all macro invocations are gone
time: 0.000; rss: 39MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 39MB	complete gated feature checking 2
time: 0.000; rss: 39MB	const fn bodies and arguments
Post-expansion node count: 1176
time: 0.000; rss: 39MB	assigning node ids
time: 0.000; rss: 39MB	lowering ast -> hir
time: 0.000; rss: 39MB	indexing hir
time: 0.000; rss: 39MB	attribute checking
time: 0.000; rss: 39MB	early lint checks
time: 0.002; rss: 39MB	external crate/lib resolution
time: 0.000; rss: 39MB	language item collection
time: 0.001; rss: 48MB	resolution
time: 0.000; rss: 48MB	lifetime resolution
time: 0.000; rss: 48MB	looking for entry point
time: 0.000; rss: 48MB	looking for plugin registrar
time: 0.000; rss: 48MB	region resolution
time: 0.000; rss: 48MB	loop checking
time: 0.000; rss: 48MB	static item recursion checking
time: 0.001; rss: 50MB	type collecting
time: 0.000; rss: 50MB	variance inference
time: 0.005; rss: 57MB	coherence checking
time: 0.010; rss: 63MB	wf checking
time: 0.000; rss: 63MB	item-types checking
time: 1.842; rss: 133MB	item-bodies checking
time: 0.000; rss: 133MB	drop-impl checking
time: 0.001; rss: 133MB	const checking
time: 0.000; rss: 133MB	privacy checking
time: 0.000; rss: 133MB	stability index
time: 0.000; rss: 133MB	intrinsic checking
time: 0.000; rss: 133MB	effect checking
time: 0.000; rss: 133MB	match checking
time: 0.000; rss: 133MB	liveness checking
time: 0.002; rss: 133MB	rvalue checking
time: 0.001; rss: 134MB	MIR dump
time: 0.000; rss: 134MB	MIR passes
time: 0.001; rss: 134MB	borrow checking
time: 0.000; rss: 134MB	reachability checking
time: 0.000; rss: 134MB	death checking
time: 0.000; rss: 134MB	stability checking
time: 0.000; rss: 134MB	unused lib feature checking
time: 0.004; rss: 136MB	lint checking
time: 0.001; rss: 136MB	resolving dependency formats
time: 0.000; rss: 136MB	Prepare MIR codegen passes
  time: 12.868; rss: 178MB	translation item collection
  time: 0.000; rss: 216MB	write metadata
time: 40.391; rss: 216MB	translation
  time: 0.015; rss: 99MB	llvm function passes [0]
  time: 0.002; rss: 99MB	llvm module passes [0]
  time: 0.279; rss: 104MB	codegen passes [0]
  time: 0.000; rss: 98MB	codegen passes [0]
time: 0.304; rss: 97MB	LLVM passes
  time: 0.116; rss: 97MB	running linker
time: 0.116; rss: 97MB	linking
done
