commit 1e8350387c57582561874aa2a5aeb4d5370cfc04
Merge: 2edb1d9 6327563
Author: bors <bors@rust-lang.org>
Date:   Thu Jan 7 11:48:35 2016 +0000

    Auto merge of #30317 - jseyfried:refactor_type_folder, r=nikomatsakis
    
    `TypeFoldable`s can currently be visited inefficiently with an identity folder that is run only for its side effects. This creates a more efficient visitor for `TypeFoldable`s and uses it to implement `RegionEscape` and `HasProjectionTypes`, fixing cleanup issue #20298.
    This is a pure refactoring.
rustc: ./piston-image-0.3.11
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling image v0.3.11 (file:///root/benchmarks/piston-image-0.3.11)
time: 0.046; rss: 42MB	parsing
Lines of code:             10676
Pre-expansion node count:  84646
time: 0.016; rss: 42MB	configuration 1
time: 0.000; rss: 42MB	recursion limit
time: 0.001; rss: 42MB	gated macro checking
time: 0.000; rss: 42MB	crate injection
time: 0.005; rss: 47MB	macro loading
time: 0.000; rss: 47MB	plugin loading
time: 0.000; rss: 47MB	plugin registration
time: 0.127; rss: 51MB	expansion
time: 0.003; rss: 51MB	complete gated feature checking 1
time: 0.027; rss: 51MB	configuration 2
time: 0.000; rss: 51MB	gated configuration checking
time: 0.013; rss: 51MB	maybe building test harness
time: 0.012; rss: 51MB	prelude injection
time: 0.001; rss: 51MB	checking that all macro invocations are gone
time: 0.000; rss: 51MB	checking for inline asm in case the target doesn't support it
time: 0.003; rss: 51MB	complete gated feature checking 2
Post-expansion node count: 144338
time: 0.012; rss: 51MB	assigning node ids
time: 0.021; rss: 62MB	lowering ast -> hir
time: 0.006; rss: 66MB	indexing hir
time: 0.000; rss: 66MB	attribute checking
time: 0.007; rss: 66MB	early lint checks
time: 0.003; rss: 57MB	external crate/lib resolution
time: 0.001; rss: 57MB	language item collection
time: 0.030; rss: 75MB	resolution
time: 0.003; rss: 75MB	lifetime resolution
time: 0.000; rss: 75MB	looking for entry point
time: 0.000; rss: 75MB	looking for plugin registrar
time: 0.011; rss: 83MB	region resolution
time: 0.001; rss: 83MB	loop checking
time: 0.001; rss: 83MB	static item recursion checking
time: 0.011; rss: 85MB	type collecting
time: 0.000; rss: 85MB	variance inference
time: 0.031; rss: 104MB	coherence checking
time: 0.145; rss: 107MB	wf checking
time: 0.051; rss: 112MB	item-types checking
time: 1.680; rss: 146MB	item-bodies checking
time: 0.000; rss: 146MB	drop-impl checking
time: 0.076; rss: 146MB	const checking
time: 0.012; rss: 146MB	privacy checking
time: 0.001; rss: 146MB	stability index
time: 0.011; rss: 146MB	intrinsic checking
time: 0.003; rss: 146MB	effect checking
time: 0.026; rss: 146MB	match checking
time: 0.095; rss: 154MB	MIR dump
time: 0.011; rss: 156MB	liveness checking
time: 0.162; rss: 156MB	borrow checking
time: 0.081; rss: 156MB	rvalue checking
time: 0.003; rss: 156MB	reachability checking
time: 0.009; rss: 156MB	death checking
time: 0.010; rss: 156MB	stability checking
time: 0.000; rss: 156MB	unused lib feature checking
time: 0.087; rss: 156MB	lint checking
time: 0.000; rss: 156MB	resolving dependency formats
time: 0.008; rss: 156MB	erasing regions from MIR
  time: 0.212; rss: 278MB	write metadata
time: 2.920; rss: 272MB	translation
  time: 0.100; rss: 162MB	llvm function passes [0]
  time: 0.043; rss: 162MB	llvm module passes [0]
  time: 1.692; rss: 212MB	codegen passes [0]
  time: 0.001; rss: 179MB	codegen passes [0]
time: 2.043; rss: 179MB	LLVM passes
time: 0.154; rss: 178MB	linking
done
