commit 28a3e8bb51cdeda4ee73296b827bfb208a0bff5b
Merge: d5e2e5f 5850d16
Author: bors <bors@rust-lang.org>
Date:   Fri Feb 19 13:49:46 2016 +0000

    Auto merge of #31742 - frewsxcv:needless-lifetimes, r=pnkfelix
    
    These explicit lifetimes can be ommitted because of lifetime elision
    rules. Instances were found using rust-clippy.
rustc: ./piston-image-0.3.11
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling image v0.3.11 (file:///root/benchmarks/piston-image-0.3.11)
time: 0.046; rss: 49MB	parsing
Lines of code:             10676
Pre-expansion node count:  84646
time: 0.016; rss: 49MB	configuration 1
time: 0.000; rss: 49MB	recursion limit
time: 0.001; rss: 49MB	gated macro checking
time: 0.000; rss: 49MB	crate injection
time: 0.005; rss: 54MB	macro loading
time: 0.000; rss: 54MB	plugin loading
time: 0.000; rss: 54MB	plugin registration
time: 0.118; rss: 58MB	expansion
time: 0.003; rss: 58MB	complete gated feature checking 1
time: 0.026; rss: 58MB	configuration 2
time: 0.000; rss: 58MB	gated configuration checking
time: 0.013; rss: 58MB	maybe building test harness
time: 0.012; rss: 58MB	prelude injection
time: 0.001; rss: 58MB	checking that all macro invocations are gone
time: 0.000; rss: 58MB	checking for inline asm in case the target doesn't support it
time: 0.003; rss: 58MB	complete gated feature checking 2
time: 0.001; rss: 58MB	const fn bodies and arguments
Post-expansion node count: 144338
time: 0.012; rss: 58MB	assigning node ids
time: 0.019; rss: 69MB	lowering ast -> hir
time: 0.005; rss: 71MB	indexing hir
time: 0.000; rss: 71MB	attribute checking
time: 0.012; rss: 71MB	early lint checks
time: 0.003; rss: 63MB	external crate/lib resolution
time: 0.001; rss: 63MB	language item collection
time: 0.028; rss: 81MB	resolution
time: 0.002; rss: 81MB	lifetime resolution
time: 0.000; rss: 81MB	looking for entry point
time: 0.000; rss: 81MB	looking for plugin registrar
time: 0.010; rss: 88MB	region resolution
time: 0.001; rss: 88MB	loop checking
time: 0.001; rss: 88MB	static item recursion checking
time: 0.010; rss: 91MB	type collecting
time: 0.000; rss: 91MB	variance inference
time: 0.030; rss: 108MB	coherence checking
time: 0.150; rss: 111MB	wf checking
time: 0.047; rss: 113MB	item-types checking
time: 1.383; rss: 143MB	item-bodies checking
time: 0.000; rss: 143MB	drop-impl checking
time: 0.067; rss: 143MB	const checking
time: 0.013; rss: 143MB	privacy checking
time: 0.001; rss: 143MB	stability index
time: 0.009; rss: 143MB	intrinsic checking
time: 0.003; rss: 143MB	effect checking
time: 0.024; rss: 143MB	match checking
time: 0.092; rss: 151MB	MIR dump
time: 0.000; rss: 151MB	MIR passes
time: 0.010; rss: 151MB	liveness checking
time: 0.143; rss: 151MB	borrow checking
time: 0.071; rss: 151MB	rvalue checking
time: 0.003; rss: 151MB	reachability checking
time: 0.009; rss: 151MB	death checking
time: 0.009; rss: 153MB	stability checking
time: 0.000; rss: 153MB	unused lib feature checking
time: 0.082; rss: 153MB	lint checking
time: 0.000; rss: 153MB	resolving dependency formats
time: 0.008; rss: 153MB	erasing regions from MIR
  time: 1.223; rss: 171MB	translation item collection
  time: 0.211; rss: 259MB	write metadata
time: 3.553; rss: 259MB	translation
  time: 0.097; rss: 163MB	llvm function passes [0]
  time: 0.040; rss: 165MB	llvm module passes [0]
  time: 1.703; rss: 170MB	codegen passes [0]
  time: 0.001; rss: 121MB	codegen passes [0]
time: 2.029; rss: 119MB	LLVM passes
time: 0.149; rss: 119MB	linking
done
