commit 211296ddabb6a307a0f60af1cb93f39b85ba5bbd
Merge: 74b886a 4e4c0d7
Author: bors <bors@rust-lang.org>
Date:   Sun Mar 13 18:46:59 2016 -0700

    Auto merge of #32226 - andoriyu:patch-2, r=alexcrichton
    
    Fix. FreeBSD snapshot
    
    Previous snapshot was complied with avx2 instructions by accident.
    
    Actual file: http://people.freebsd.org/~davide/rust/rust-stage0-2016-02-17-4d3eebf-freebsd-x86_64-f38991fbb81c1cd8d0bbda396f98f13a55b42804.tar.bz2
    
    /cc @alexcrichton @dcci
rustc: ./regex.0.1.30
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling regex v0.1.30 (file:///root/benchmarks/regex.0.1.30)
time: 0.061; rss: 49MB	parsing
Lines of code:             8558
Pre-expansion node count:  58217
time: 0.011; rss: 50MB	configuration 1
time: 0.000; rss: 50MB	recursion limit
time: 0.001; rss: 50MB	gated macro checking
time: 0.000; rss: 50MB	crate injection
time: 0.003; rss: 54MB	macro loading
time: 0.000; rss: 54MB	plugin loading
time: 0.000; rss: 54MB	plugin registration
time: 0.061; rss: 56MB	expansion
time: 0.001; rss: 56MB	complete gated feature checking 1
time: 0.013; rss: 56MB	configuration 2
time: 0.000; rss: 56MB	gated configuration checking
time: 0.006; rss: 56MB	maybe building test harness
time: 0.006; rss: 56MB	prelude injection
time: 0.000; rss: 56MB	checking that all macro invocations are gone
time: 0.000; rss: 56MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 56MB	complete gated feature checking 2
time: 0.001; rss: 56MB	const fn bodies and arguments
Post-expansion node count: 68657
time: 0.006; rss: 56MB	assigning node ids
time: 0.008; rss: 62MB	lowering ast -> hir
time: 0.002; rss: 65MB	indexing hir
time: 0.001; rss: 65MB	attribute checking
time: 0.007; rss: 65MB	early lint checks
time: 0.001; rss: 58MB	external crate/lib resolution
time: 0.001; rss: 58MB	language item collection
time: 0.009; rss: 68MB	resolution
time: 0.001; rss: 68MB	lifetime resolution
time: 0.000; rss: 68MB	looking for entry point
time: 0.000; rss: 68MB	looking for plugin registrar
time: 0.005; rss: 72MB	region resolution
time: 0.001; rss: 72MB	loop checking
time: 0.001; rss: 72MB	static item recursion checking
time: 0.003; rss: 74MB	type collecting
time: 0.000; rss: 74MB	variance inference
time: 0.023; rss: 92MB	coherence checking
time: 0.010; rss: 92MB	wf checking
time: 0.078; rss: 95MB	item-types checking
time: 0.186; rss: 110MB	item-bodies checking
time: 0.000; rss: 110MB	drop-impl checking
time: 0.023; rss: 110MB	const checking
time: 0.004; rss: 110MB	privacy checking
time: 0.000; rss: 110MB	stability index
time: 0.001; rss: 110MB	intrinsic checking
time: 0.001; rss: 110MB	effect checking
time: 0.003; rss: 110MB	match checking
time: 0.002; rss: 110MB	liveness checking
time: 0.006; rss: 110MB	rvalue checking
time: 0.013; rss: 112MB	MIR dump
time: 0.008; rss: 112MB	MIR passes
time: 0.019; rss: 112MB	borrow checking
time: 0.000; rss: 112MB	reachability checking
time: 0.002; rss: 112MB	death checking
time: 0.002; rss: 112MB	stability checking
time: 0.000; rss: 112MB	unused lib feature checking
time: 0.028; rss: 112MB	lint checking
time: 0.000; rss: 112MB	resolving dependency formats
  time: 0.057; rss: 123MB	translation item collection
  time: 0.131; rss: 177MB	write metadata
time: 0.585; rss: 177MB	translation
  time: 0.034; rss: 117MB	llvm function passes [0]
  time: 0.017; rss: 118MB	llvm module passes [0]
  time: 0.595; rss: 122MB	codegen passes [0]
  time: 0.001; rss: 103MB	codegen passes [0]
time: 0.718; rss: 102MB	LLVM passes
time: 0.064; rss: 101MB	linking
done
