commit a77d7bde60fd2ba5d55809a44df0e162a901dbfc
Merge: b12b4e4 aa22b4e
Author: bors <bors@rust-lang.org>
Date:   Thu Mar 17 23:52:55 2016 -0700

    Auto merge of #32207 - achanda:ipv6-doc, r=alexcrichton
    
    Add is_documentation for IPv6
    
    This function returns true if the given IPv6 is reserved for
    documentation. Also, reject this block in the is_global check
rustc: ./regex.0.1.30
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling regex v0.1.30 (file:///root/benchmarks/regex.0.1.30)
time: 0.069; rss: 49MB	parsing
Lines of code:             8558
Pre-expansion node count:  58217
time: 0.011; rss: 49MB	configuration 1
time: 0.000; rss: 49MB	recursion limit
time: 0.001; rss: 49MB	gated macro checking
time: 0.000; rss: 49MB	crate injection
time: 0.003; rss: 54MB	macro loading
time: 0.000; rss: 54MB	plugin loading
time: 0.000; rss: 54MB	plugin registration
time: 0.057; rss: 56MB	expansion
time: 0.001; rss: 56MB	complete gated feature checking 1
time: 0.013; rss: 56MB	configuration 2
time: 0.000; rss: 56MB	gated configuration checking
time: 0.006; rss: 56MB	maybe building test harness
time: 0.006; rss: 56MB	prelude injection
time: 0.001; rss: 56MB	checking that all macro invocations are gone
time: 0.000; rss: 56MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 56MB	complete gated feature checking 2
time: 0.001; rss: 56MB	const fn bodies and arguments
Post-expansion node count: 68657
time: 0.006; rss: 56MB	assigning node ids
time: 0.008; rss: 62MB	lowering ast -> hir
time: 0.004; rss: 64MB	indexing hir
time: 0.001; rss: 64MB	attribute checking
time: 0.007; rss: 64MB	early lint checks
time: 0.001; rss: 57MB	external crate/lib resolution
time: 0.001; rss: 57MB	language item collection
time: 0.009; rss: 67MB	resolution
time: 0.001; rss: 67MB	lifetime resolution
time: 0.000; rss: 67MB	looking for entry point
time: 0.000; rss: 67MB	looking for plugin registrar
time: 0.009; rss: 69MB	region resolution
time: 0.001; rss: 69MB	loop checking
time: 0.001; rss: 69MB	static item recursion checking
time: 0.004; rss: 72MB	type collecting
time: 0.000; rss: 72MB	variance inference
time: 0.064; rss: 90MB	coherence checking
time: 0.010; rss: 91MB	wf checking
time: 0.274; rss: 95MB	item-types checking
time: 0.214; rss: 105MB	item-bodies checking
time: 0.000; rss: 105MB	drop-impl checking
time: 0.030; rss: 106MB	const checking
time: 0.004; rss: 106MB	privacy checking
time: 0.000; rss: 106MB	stability index
time: 0.001; rss: 106MB	intrinsic checking
time: 0.001; rss: 106MB	effect checking
time: 0.003; rss: 106MB	match checking
time: 0.002; rss: 106MB	liveness checking
time: 0.007; rss: 106MB	rvalue checking
time: 0.015; rss: 109MB	MIR dump
time: 0.008; rss: 109MB	MIR passes
time: 0.019; rss: 109MB	borrow checking
time: 0.000; rss: 109MB	reachability checking
time: 0.002; rss: 109MB	death checking
time: 0.002; rss: 109MB	stability checking
time: 0.000; rss: 109MB	unused lib feature checking
time: 0.027; rss: 109MB	lint checking
time: 0.000; rss: 109MB	resolving dependency formats
  time: 0.068; rss: 124MB	translation item collection
  time: 0.139; rss: 173MB	write metadata
time: 0.712; rss: 173MB	translation
  time: 0.035; rss: 116MB	llvm function passes [0]
  time: 0.018; rss: 117MB	llvm module passes [0]
  time: 0.599; rss: 122MB	codegen passes [0]
  time: 0.001; rss: 103MB	codegen passes [0]
time: 0.725; rss: 100MB	LLVM passes
time: 0.065; rss: 100MB	linking
done
