commit 9d6520f97ba9062e6a6103f4038357e928d2f851
Merge: 169b612 d69cd72
Author: bors <bors@rust-lang.org>
Date:   Thu Aug 18 00:15:11 2016 -0700

    Auto merge of #35769 - eddyb:rollup, r=eddyb
    
    Rollup of 12 pull requests
    
    - Successful merges: #35346, #35734, #35739, #35740, #35742, #35744, #35749, #35750, #35751, #35756, #35766, #35768
    - Failed merges:
rustc: ./regex.0.1.30
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling regex v0.1.30 (file:///root/benchmarks/regex.0.1.30)
time: 0.053; rss: 57MB	parsing
Lines of code:             8558
Pre-expansion node count:  58076
time: 0.005; rss: 57MB	configuration
time: 0.000; rss: 57MB	recursion limit
time: 0.000; rss: 57MB	crate injection
time: 0.000; rss: 57MB	plugin loading
time: 0.000; rss: 57MB	plugin registration
time: 0.030; rss: 93MB	expansion
time: 0.000; rss: 93MB	maybe building test harness
time: 0.004; rss: 93MB	assigning node ids
Post-expansion node count: 68148
time: 0.000; rss: 93MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 93MB	complete gated feature checking
time: 0.001; rss: 94MB	collecting defs
time: 0.001; rss: 94MB	external crate/lib resolution
time: 0.003; rss: 94MB	early lint checks
time: 0.001; rss: 94MB	AST validation
time: 0.007; rss: 95MB	name resolution
time: 0.008; rss: 105MB	lowering ast -> hir
time: 0.002; rss: 107MB	indexing hir
time: 0.001; rss: 107MB	attribute checking
time: 0.001; rss: 97MB	language item collection
time: 0.001; rss: 97MB	lifetime resolution
time: 0.000; rss: 97MB	looking for entry point
time: 0.000; rss: 97MB	looking for plugin registrar
time: 0.007; rss: 101MB	region resolution
time: 0.001; rss: 101MB	loop checking
time: 0.001; rss: 101MB	static item recursion checking
time: 0.000; rss: 101MB	load_dep_graph
time: 0.009; rss: 102MB	type collecting
time: 0.000; rss: 102MB	variance inference
time: 0.020; rss: 105MB	coherence checking
time: 0.010; rss: 106MB	wf checking
time: 0.272; rss: 113MB	item-types checking
time: 0.164; rss: 115MB	item-bodies checking
time: 0.000; rss: 115MB	drop-impl checking
time: 0.028; rss: 117MB	const checking
time: 0.004; rss: 117MB	privacy checking
time: 0.001; rss: 117MB	stability index
time: 0.002; rss: 117MB	intrinsic checking
time: 0.001; rss: 117MB	effect checking
time: 0.004; rss: 118MB	match checking
time: 0.002; rss: 118MB	liveness checking
time: 0.008; rss: 118MB	rvalue checking
time: 0.045; rss: 133MB	MIR dump
time: 0.022; rss: 133MB	MIR passes
time: 0.021; rss: 133MB	borrow checking
time: 0.000; rss: 133MB	reachability checking
time: 0.003; rss: 133MB	death checking
time: 0.002; rss: 133MB	stability checking
time: 0.000; rss: 133MB	unused lib feature checking
time: 0.027; rss: 133MB	lint checking
time: 0.000; rss: 133MB	resolving dependency formats
time: 0.019; rss: 135MB	Prepare MIR codegen passes
  time: 0.171; rss: 145MB	write metadata
  time: 0.050; rss: 148MB	translation item collection
  time: 0.008; rss: 148MB	codegen unit partitioning
  time: 0.015; rss: 197MB	internalize symbols
time: 0.747; rss: 194MB	translation
time: 0.000; rss: 194MB	assert dep graph
time: 0.000; rss: 194MB	serialize dep graph
  time: 0.036; rss: 128MB	llvm function passes [0]
  time: 0.019; rss: 130MB	llvm module passes [0]
  time: 0.668; rss: 133MB	codegen passes [0]
  time: 0.001; rss: 133MB	codegen passes [0]
time: 0.781; rss: 133MB	LLVM passes
time: 0.000; rss: 133MB	serialize work products
time: 0.066; rss: 106MB	linking
done
