commit 603d9ccfbe564e280389e9b3e880d0c53623433d
Merge: eac4146 42b75a5
Author: bors <bors@rust-lang.org>
Date:   Wed Aug 31 00:40:42 2016 -0700

    Auto merge of #34623 - lfairy:repr-conflict, r=Aatch
    
    Warn about multiple conflicting #[repr] hints
    
    Closes #34622
rustc: ./regex.0.1.30
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling regex v0.1.30 (file:///root/benchmarks/regex.0.1.30)
time: 0.058; rss: 56MB	parsing
Lines of code:             8558
Pre-expansion node count:  58080
time: 0.005; rss: 56MB	configuration
time: 0.000; rss: 56MB	recursion limit
time: 0.000; rss: 56MB	crate injection
time: 0.000; rss: 56MB	plugin loading
time: 0.000; rss: 56MB	plugin registration
time: 0.029; rss: 79MB	expansion
time: 0.000; rss: 79MB	maybe building test harness
time: 0.003; rss: 79MB	assigning node ids
Post-expansion node count: 68152
time: 0.000; rss: 79MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 79MB	complete gated feature checking
time: 0.001; rss: 80MB	collecting defs
time: 0.001; rss: 80MB	external crate/lib resolution
time: 0.004; rss: 80MB	early lint checks
time: 0.001; rss: 80MB	AST validation
time: 0.006; rss: 81MB	name resolution
time: 0.015; rss: 90MB	lowering ast -> hir
time: 0.005; rss: 92MB	indexing hir
time: 0.001; rss: 92MB	attribute checking
time: 0.001; rss: 83MB	language item collection
time: 0.001; rss: 83MB	lifetime resolution
time: 0.000; rss: 83MB	looking for entry point
time: 0.000; rss: 83MB	looking for plugin registrar
time: 0.007; rss: 86MB	region resolution
time: 0.001; rss: 86MB	loop checking
time: 0.001; rss: 86MB	static item recursion checking
time: 0.008; rss: 86MB	compute_incremental_hashes_map
time: 0.000; rss: 86MB	load_dep_graph
time: 0.008; rss: 88MB	type collecting
time: 0.000; rss: 88MB	variance inference
time: 0.019; rss: 91MB	coherence checking
time: 0.009; rss: 91MB	wf checking
time: 0.266; rss: 100MB	item-types checking
time: 0.147; rss: 104MB	item-bodies checking
time: 0.000; rss: 104MB	drop-impl checking
time: 0.031; rss: 105MB	const checking
time: 0.004; rss: 105MB	privacy checking
time: 0.001; rss: 105MB	stability index
time: 0.002; rss: 105MB	intrinsic checking
time: 0.001; rss: 105MB	effect checking
time: 0.004; rss: 105MB	match checking
time: 0.002; rss: 105MB	liveness checking
time: 0.008; rss: 105MB	rvalue checking
time: 0.068; rss: 118MB	MIR dump
time: 0.021; rss: 118MB	MIR passes
time: 0.022; rss: 119MB	borrow checking
time: 0.000; rss: 119MB	reachability checking
time: 0.002; rss: 119MB	death checking
time: 0.002; rss: 119MB	stability checking
time: 0.000; rss: 119MB	unused lib feature checking
time: 0.025; rss: 119MB	lint checking
time: 0.000; rss: 119MB	resolving dependency formats
time: 0.022; rss: 120MB	Prepare MIR codegen passes
  time: 0.183; rss: 127MB	write metadata
  time: 0.046; rss: 129MB	translation item collection
  time: 0.007; rss: 130MB	codegen unit partitioning
  time: 0.014; rss: 155MB	internalize symbols
time: 0.727; rss: 148MB	translation
time: 0.000; rss: 148MB	assert dep graph
time: 0.000; rss: 148MB	serialize dep graph
  time: 0.036; rss: 108MB	llvm function passes [0]
  time: 0.019; rss: 110MB	llvm module passes [0]
  time: 0.670; rss: 114MB	codegen passes [0]
  time: 0.001; rss: 114MB	codegen passes [0]
time: 0.789; rss: 114MB	LLVM passes
time: 0.000; rss: 114MB	serialize work products
time: 0.066; rss: 87MB	linking
done
