commit dfd98ebd3e862d6fe23519fc6605d03a1c146914
Merge: d337f34 dd3a014
Author: bors <bors@rust-lang.org>
Date:   Wed Oct 19 17:41:49 2016 -0700

    Auto merge of #37289 - GuillaumeGomez:rollup, r=GuillaumeGomez
    
    Rollup of 7 pull requests
    
    - Successful merges: #37165, #37187, #37241, #37283, #37285, #37287, #37288
    - Failed merges:
rustc: ./regex.0.1.30
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling regex v0.1.30 (file:///root/benchmarks/regex.0.1.30)
time: 0.050; rss: 57MB	parsing
Lines of code:             8558
Pre-expansion node count:  58080
time: 0.000; rss: 57MB	recursion limit
time: 0.000; rss: 57MB	crate injection
time: 0.000; rss: 57MB	plugin loading
time: 0.000; rss: 57MB	plugin registration
time: 0.034; rss: 81MB	expansion
time: 0.000; rss: 81MB	maybe building test harness
time: 0.001; rss: 81MB	maybe creating a macro crate
Post-expansion node count: 68134
time: 0.000; rss: 81MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 81MB	complete gated feature checking
time: 0.004; rss: 81MB	early lint checks
time: 0.001; rss: 81MB	AST validation
time: 0.006; rss: 82MB	name resolution
time: 0.008; rss: 89MB	lowering ast -> hir
time: 0.002; rss: 91MB	indexing hir
time: 0.001; rss: 91MB	attribute checking
time: 0.001; rss: 83MB	language item collection
time: 0.001; rss: 83MB	lifetime resolution
time: 0.000; rss: 83MB	looking for entry point
time: 0.000; rss: 83MB	looking for plugin registrar
time: 0.007; rss: 86MB	region resolution
time: 0.001; rss: 86MB	loop checking
time: 0.002; rss: 86MB	static item recursion checking
time: 0.029; rss: 86MB	compute_incremental_hashes_map
time: 0.000; rss: 86MB	load_dep_graph
time: 0.006; rss: 88MB	type collecting
time: 0.000; rss: 88MB	variance inference
time: 0.018; rss: 91MB	coherence checking
time: 0.007; rss: 91MB	wf checking
time: 0.171; rss: 103MB	item-types checking
time: 0.132; rss: 105MB	item-bodies checking
time: 0.000; rss: 105MB	drop-impl checking
time: 0.025; rss: 107MB	const checking
time: 0.003; rss: 107MB	privacy checking
time: 0.001; rss: 107MB	stability index
time: 0.001; rss: 107MB	intrinsic checking
time: 0.001; rss: 107MB	effect checking
time: 0.003; rss: 107MB	match checking
time: 0.002; rss: 107MB	liveness checking
time: 0.007; rss: 107MB	rvalue checking
time: 0.042; rss: 121MB	MIR dump
  time: 0.003; rss: 121MB	SimplifyCfg
  time: 0.005; rss: 121MB	QualifyAndPromoteConstants
  time: 0.009; rss: 121MB	TypeckMir
  time: 0.000; rss: 121MB	SimplifyBranches
  time: 0.001; rss: 121MB	SimplifyCfg
time: 0.018; rss: 121MB	MIR passes
time: 0.021; rss: 121MB	borrow checking
time: 0.000; rss: 121MB	reachability checking
time: 0.002; rss: 121MB	death checking
time: 0.002; rss: 121MB	stability checking
time: 0.000; rss: 121MB	unused lib feature checking
time: 0.024; rss: 121MB	lint checking
time: 0.000; rss: 121MB	resolving dependency formats
  time: 0.000; rss: 121MB	NoLandingPads
  time: 0.001; rss: 121MB	SimplifyCfg
  time: 0.004; rss: 121MB	EraseRegions
  time: 0.000; rss: 121MB	AddCallGuards
  time: 0.007; rss: 121MB	ElaborateDrops
  time: 0.000; rss: 121MB	NoLandingPads
  time: 0.002; rss: 121MB	SimplifyCfg
  time: 0.002; rss: 121MB	InstCombine
  time: 0.000; rss: 121MB	Deaggregator
  time: 0.000; rss: 121MB	CopyPropagation
  time: 0.000; rss: 121MB	AddCallGuards
  time: 0.000; rss: 121MB	PreTrans
time: 0.018; rss: 121MB	Prepare MIR codegen passes
  time: 0.018; rss: 126MB	write metadata
  time: 0.047; rss: 130MB	translation item collection
  time: 0.006; rss: 130MB	codegen unit partitioning
  time: 0.006; rss: 157MB	internalize symbols
time: 0.432; rss: 149MB	translation
time: 0.000; rss: 149MB	assert dep graph
time: 0.000; rss: 149MB	serialize dep graph
  time: 0.037; rss: 105MB	llvm function passes [0]
  time: 0.018; rss: 107MB	llvm module passes [0]
  time: 0.672; rss: 110MB	codegen passes [0]
  time: 0.000; rss: 110MB	codegen passes [0]
time: 0.786; rss: 110MB	LLVM passes
time: 0.000; rss: 110MB	serialize work products
time: 0.065; rss: 83MB	linking
done
