commit 209308439a1099b285520459f57e380f18793c07
Merge: 7846610 d6ec686
Author: bors <bors@rust-lang.org>
Date:   Wed Dec 7 16:32:48 2016 +0000

    Auto merge of #38105 - ollie27:rustdoc_deterministic_js, r=GuillaumeGomez
    
    rustdoc: Sort lines in search index and implementors js
    
    This means the files are generated deterministically even with rustdoc running in parallel.
    
    Fixes the first part of #30220.
rustc: ./rust-encoding-0.3.0
cargo rustc  -- -Ztime-passes -Zinput-stats
time: 0.024; rss: 46MB	parsing
Lines of code:             5757
Pre-expansion node count:  26523
time: 0.000; rss: 46MB	recursion limit
time: 0.000; rss: 46MB	crate injection
time: 0.000; rss: 46MB	plugin loading
time: 0.000; rss: 46MB	plugin registration
time: 0.040; rss: 74MB	expansion
time: 0.000; rss: 74MB	maybe building test harness
time: 0.000; rss: 74MB	maybe creating a macro crate
Post-expansion node count: 37888
time: 0.000; rss: 74MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 74MB	complete gated feature checking
time: 0.001; rss: 74MB	early lint checks
time: 0.000; rss: 74MB	AST validation
time: 0.007; rss: 75MB	name resolution
time: 0.004; rss: 77MB	lowering ast -> hir
time: 0.001; rss: 77MB	indexing hir
time: 0.000; rss: 77MB	attribute checking
time: 0.000; rss: 76MB	language item collection
time: 0.001; rss: 76MB	lifetime resolution
time: 0.000; rss: 76MB	looking for entry point
time: 0.000; rss: 76MB	looking for plugin registrar
time: 0.002; rss: 77MB	region resolution
time: 0.000; rss: 77MB	loop checking
time: 0.000; rss: 77MB	static item recursion checking
time: 0.017; rss: 78MB	compute_incremental_hashes_map
time: 0.000; rss: 78MB	load_dep_graph
time: 0.000; rss: 78MB	stability index
time: 0.001; rss: 78MB	stability checking
time: 0.007; rss: 79MB	type collecting
time: 0.000; rss: 79MB	variance inference
time: 0.000; rss: 79MB	impl wf inference
time: 0.007; rss: 80MB	coherence checking
time: 0.009; rss: 81MB	wf checking
time: 0.013; rss: 81MB	item-types checking
time: 0.113; rss: 85MB	item-bodies checking
time: 0.000; rss: 85MB	drop-impl checking
time: 0.008; rss: 85MB	const checking
time: 0.002; rss: 85MB	privacy checking
time: 0.001; rss: 85MB	intrinsic checking
time: 0.000; rss: 85MB	effect checking
time: 0.004; rss: 85MB	match checking
time: 0.001; rss: 85MB	liveness checking
time: 0.005; rss: 85MB	rvalue checking
time: 0.028; rss: 93MB	MIR dump
  time: 0.002; rss: 93MB	SimplifyCfg
  time: 0.003; rss: 93MB	QualifyAndPromoteConstants
  time: 0.004; rss: 93MB	TypeckMir
  time: 0.000; rss: 93MB	SimplifyBranches
  time: 0.001; rss: 93MB	SimplifyCfg
time: 0.012; rss: 93MB	MIR cleanup and validation
time: 0.017; rss: 94MB	borrow checking
time: 0.000; rss: 94MB	reachability checking
time: 0.001; rss: 94MB	death checking
time: 0.000; rss: 94MB	unused lib feature checking
time: 0.012; rss: 94MB	lint checking
time: 0.000; rss: 94MB	resolving dependency formats
  time: 0.000; rss: 94MB	NoLandingPads
  time: 0.001; rss: 94MB	SimplifyCfg
  time: 0.002; rss: 94MB	EraseRegions
  time: 0.000; rss: 94MB	AddCallGuards
  time: 0.022; rss: 95MB	ElaborateDrops
  time: 0.000; rss: 95MB	NoLandingPads
  time: 0.002; rss: 95MB	SimplifyCfg
  time: 0.001; rss: 95MB	InstCombine
  time: 0.001; rss: 95MB	Deaggregator
  time: 0.000; rss: 95MB	CopyPropagation
  time: 0.001; rss: 95MB	SimplifyLocals
  time: 0.000; rss: 95MB	AddCallGuards
  time: 0.000; rss: 95MB	PreTrans
time: 0.032; rss: 95MB	MIR optimisations
  time: 0.004; rss: 95MB	write metadata
  time: 0.268; rss: 176MB	translation item collection
  time: 0.002; rss: 176MB	codegen unit partitioning
  time: 0.003; rss: 197MB	internalize symbols
time: 0.606; rss: 197MB	translation
time: 0.000; rss: 197MB	assert dep graph
time: 0.000; rss: 197MB	serialize dep graph
  time: 0.026; rss: 113MB	llvm function passes [0]
  time: 0.059; rss: 119MB	llvm module passes [0]
  time: 0.633; rss: 126MB	codegen passes [0]
  time: 0.000; rss: 126MB	codegen passes [0]
time: 0.775; rss: 126MB	LLVM passes
time: 0.000; rss: 126MB	serialize work products
time: 0.039; rss: 97MB	linking
done
