commit 711f11e8d607b3ecf297366fa704b5200709d12d
Merge: 8037e62 944b337
Author: bors <bors@rust-lang.org>
Date:   Fri Dec 25 06:24:56 2015 +0000

    Auto merge of #30544 - steveklabnik:rollup, r=steveklabnik
    
    - Successful merges: #30251, #30461, #30465, #30473, #30529, #30537, #30539, #30541, #30543
    - Failed merges:
rustc: ./rust-encoding.0.2.32
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling encoding v0.2.32 (file:///root/benchmarks/rust-encoding.0.2.32)
time: 0.022; rss: 37MB	parsing
Lines of code:             6441
Pre-expansion node count:  30335
time: 0.006; rss: 41MB	configuration 1
time: 0.000; rss: 41MB	recursion limit
time: 0.000; rss: 41MB	gated macro checking
time: 0.000; rss: 41MB	crate injection
time: 0.003; rss: 44MB	macro loading
time: 0.000; rss: 44MB	plugin loading
time: 0.000; rss: 44MB	plugin registration
time: 0.046; rss: 46MB	expansion
time: 0.001; rss: 46MB	complete gated feature checking 1
time: 0.007; rss: 46MB	configuration 2
time: 0.000; rss: 46MB	gated configuration checking
time: 0.004; rss: 46MB	maybe building test harness
time: 0.003; rss: 46MB	prelude injection
time: 0.000; rss: 46MB	checking that all macro invocations are gone
time: 0.000; rss: 46MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 46MB	complete gated feature checking 2
Post-expansion node count: 41783
time: 0.004; rss: 46MB	assigning node ids
time: 0.004; rss: 50MB	lowering ast -> hir
time: 0.001; rss: 50MB	indexing hir
time: 0.000; rss: 50MB	attribute checking
time: 0.002; rss: 50MB	early lint checks
time: 0.001; rss: 50MB	external crate/lib resolution
time: 0.000; rss: 50MB	language item collection
time: 0.008; rss: 61MB	resolution
time: 0.000; rss: 61MB	lifetime resolution
time: 0.000; rss: 61MB	looking for entry point
time: 0.000; rss: 61MB	looking for plugin registrar
time: 0.002; rss: 61MB	region resolution
time: 0.000; rss: 61MB	loop checking
time: 0.000; rss: 61MB	static item recursion checking
time: 0.005; rss: 61MB	type collecting
time: 0.000; rss: 61MB	variance inference
time: 0.019; rss: 81MB	coherence checking
time: 0.014; rss: 81MB	wf checking
time: 0.013; rss: 84MB	item-types checking
time: 0.194; rss: 100MB	item-bodies checking
time: 0.000; rss: 100MB	drop-impl checking
time: 0.011; rss: 100MB	const checking
time: 0.002; rss: 100MB	privacy checking
time: 0.000; rss: 100MB	stability index
time: 0.001; rss: 100MB	intrinsic checking
time: 0.000; rss: 100MB	effect checking
time: 0.006; rss: 100MB	match checking
time: 0.018; rss: 102MB	MIR dump
time: 0.002; rss: 102MB	liveness checking
time: 0.022; rss: 102MB	borrow checking
time: 0.006; rss: 102MB	rvalue checking
time: 0.000; rss: 102MB	reachability checking
time: 0.002; rss: 102MB	death checking
time: 0.002; rss: 102MB	stability checking
time: 0.000; rss: 102MB	unused lib feature checking
time: 0.018; rss: 104MB	lint checking
time: 0.000; rss: 104MB	resolving dependency formats
time: 0.002; rss: 104MB	erasing regions from MIR
time: 0.360; rss: 157MB	translation
  time: 0.027; rss: 113MB	llvm function passes [0]
  time: 0.063; rss: 116MB	llvm module passes [0]
  time: 0.572; rss: 137MB	codegen passes [0]
  time: 0.001; rss: 135MB	codegen passes [0]
time: 0.730; rss: 135MB	LLVM passes
time: 0.054; rss: 135MB	linking
done
