commit 13675a57c75b2e08827c1674b050bc241f1bf4aa
Merge: 17d284b 39c2d85
Author: bors <bors@rust-lang.org>
Date:   Mon Feb 15 22:41:02 2016 +0000

    Auto merge of #31646 - Manishearth:rollup, r=Manishearth
    
    - Successful merges: #31551, #31581, #31614, #31626, #31632, #31642
    - Failed merges:
rustc: ./rust-encoding.0.2.32
cargo rustc -- -Ztime-passes -Zinput-stats
    Updating registry `https://github.com/rust-lang/crates.io-index`
   Compiling encoding_index_tests v0.1.4 (file:///root/benchmarks/rust-encoding.0.2.32)
   Compiling encoding-index-simpchinese v1.20141219.5 (file:///root/benchmarks/rust-encoding.0.2.32)
   Compiling encoding-index-tradchinese v1.20141219.5 (file:///root/benchmarks/rust-encoding.0.2.32)
   Compiling encoding-index-japanese v1.20141219.5 (file:///root/benchmarks/rust-encoding.0.2.32)
   Compiling encoding-index-korean v1.20141219.5 (file:///root/benchmarks/rust-encoding.0.2.32)
   Compiling encoding-index-singlebyte v1.20141219.5 (file:///root/benchmarks/rust-encoding.0.2.32)
   Compiling encoding v0.2.32 (file:///root/benchmarks/rust-encoding.0.2.32)
time: 0.023; rss: 42MB	parsing
Lines of code:             6441
Pre-expansion node count:  30335
time: 0.007; rss: 42MB	configuration 1
time: 0.000; rss: 42MB	recursion limit
time: 0.000; rss: 42MB	gated macro checking
time: 0.000; rss: 42MB	crate injection
time: 0.003; rss: 45MB	macro loading
time: 0.000; rss: 45MB	plugin loading
time: 0.000; rss: 45MB	plugin registration
time: 0.046; rss: 47MB	expansion
time: 0.001; rss: 47MB	complete gated feature checking 1
time: 0.007; rss: 47MB	configuration 2
time: 0.000; rss: 47MB	gated configuration checking
time: 0.004; rss: 47MB	maybe building test harness
time: 0.004; rss: 47MB	prelude injection
time: 0.000; rss: 47MB	checking that all macro invocations are gone
time: 0.000; rss: 47MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 47MB	complete gated feature checking 2
time: 0.000; rss: 47MB	const fn bodies and arguments
Post-expansion node count: 41783
time: 0.003; rss: 48MB	assigning node ids
time: 0.004; rss: 51MB	lowering ast -> hir
time: 0.001; rss: 51MB	indexing hir
time: 0.000; rss: 51MB	attribute checking
time: 0.003; rss: 51MB	early lint checks
time: 0.001; rss: 50MB	external crate/lib resolution
time: 0.000; rss: 50MB	language item collection
time: 0.007; rss: 57MB	resolution
time: 0.000; rss: 57MB	lifetime resolution
time: 0.000; rss: 57MB	looking for entry point
time: 0.000; rss: 57MB	looking for plugin registrar
time: 0.002; rss: 58MB	region resolution
time: 0.000; rss: 58MB	loop checking
time: 0.000; rss: 58MB	static item recursion checking
time: 0.005; rss: 60MB	type collecting
time: 0.000; rss: 60MB	variance inference
time: 0.020; rss: 77MB	coherence checking
time: 0.018; rss: 78MB	wf checking
time: 0.012; rss: 78MB	item-types checking
time: 0.187; rss: 88MB	item-bodies checking
time: 0.000; rss: 88MB	drop-impl checking
time: 0.010; rss: 88MB	const checking
time: 0.002; rss: 88MB	privacy checking
time: 0.000; rss: 88MB	stability index
time: 0.001; rss: 88MB	intrinsic checking
time: 0.000; rss: 88MB	effect checking
time: 0.006; rss: 88MB	match checking
time: 0.017; rss: 95MB	MIR dump
time: 0.000; rss: 95MB	MIR passes
time: 0.002; rss: 95MB	liveness checking
time: 0.021; rss: 95MB	borrow checking
time: 0.006; rss: 95MB	rvalue checking
time: 0.000; rss: 95MB	reachability checking
time: 0.002; rss: 95MB	death checking
time: 0.002; rss: 95MB	stability checking
time: 0.000; rss: 95MB	unused lib feature checking
time: 0.018; rss: 95MB	lint checking
time: 0.000; rss: 95MB	resolving dependency formats
time: 0.002; rss: 95MB	erasing regions from MIR
  time: 0.023; rss: 106MB	translation item collection
  time: 0.056; rss: 135MB	write metadata
time: 0.310; rss: 135MB	translation
  time: 0.027; rss: 105MB	llvm function passes [0]
  time: 0.047; rss: 108MB	llvm module passes [0]
  time: 0.562; rss: 115MB	codegen passes [0]
  time: 0.001; rss: 98MB	codegen passes [0]
time: 0.701; rss: 97MB	LLVM passes
time: 0.051; rss: 96MB	linking
done
