commit b6fcab5c7c1641e030124f70f7d85ef46b6468f8
Merge: 78e8a00 88ad229
Author: bors <bors@rust-lang.org>
Date:   Sat Mar 19 21:15:23 2016 -0700

    Auto merge of #32358 - Manishearth:pr-32053, r=Manishearth
    
    Add note if method is called on a function object
    
    rebase of #32053
rustc: ./rust-encoding.0.2.32
cargo rustc -- -Ztime-passes -Zinput-stats
    Updating registry `https://github.com/rust-lang/crates.io-index`
   Compiling encoding_index_tests v0.1.4 (file:///root/benchmarks/rust-encoding.0.2.32)
   Compiling encoding-index-singlebyte v1.20141219.5 (file:///root/benchmarks/rust-encoding.0.2.32)
   Compiling encoding-index-simpchinese v1.20141219.5 (file:///root/benchmarks/rust-encoding.0.2.32)
   Compiling encoding-index-korean v1.20141219.5 (file:///root/benchmarks/rust-encoding.0.2.32)
   Compiling encoding-index-tradchinese v1.20141219.5 (file:///root/benchmarks/rust-encoding.0.2.32)
   Compiling encoding-index-japanese v1.20141219.5 (file:///root/benchmarks/rust-encoding.0.2.32)
   Compiling encoding v0.2.32 (file:///root/benchmarks/rust-encoding.0.2.32)
time: 0.023; rss: 43MB	parsing
Lines of code:             6441
Pre-expansion node count:  30335
time: 0.006; rss: 43MB	configuration 1
time: 0.000; rss: 43MB	recursion limit
time: 0.000; rss: 43MB	gated macro checking
time: 0.000; rss: 43MB	crate injection
time: 0.003; rss: 46MB	macro loading
time: 0.000; rss: 46MB	plugin loading
time: 0.000; rss: 46MB	plugin registration
time: 0.044; rss: 48MB	expansion
time: 0.001; rss: 48MB	complete gated feature checking 1
time: 0.008; rss: 48MB	configuration 2
time: 0.000; rss: 48MB	gated configuration checking
time: 0.004; rss: 48MB	maybe building test harness
time: 0.003; rss: 48MB	prelude injection
time: 0.000; rss: 48MB	checking that all macro invocations are gone
time: 0.000; rss: 48MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 48MB	complete gated feature checking 2
time: 0.000; rss: 48MB	const fn bodies and arguments
Post-expansion node count: 41611
time: 0.003; rss: 48MB	assigning node ids
time: 0.004; rss: 52MB	lowering ast -> hir
time: 0.001; rss: 54MB	indexing hir
time: 0.001; rss: 54MB	attribute checking
time: 0.002; rss: 54MB	early lint checks
time: 0.001; rss: 53MB	external crate/lib resolution
time: 0.000; rss: 53MB	language item collection
time: 0.008; rss: 62MB	resolution
time: 0.000; rss: 62MB	lifetime resolution
time: 0.000; rss: 62MB	looking for entry point
time: 0.000; rss: 62MB	looking for plugin registrar
time: 0.002; rss: 64MB	region resolution
time: 0.000; rss: 64MB	loop checking
time: 0.000; rss: 64MB	static item recursion checking
time: 0.005; rss: 66MB	type collecting
time: 0.000; rss: 66MB	variance inference
time: 0.141; rss: 84MB	coherence checking
time: 0.019; rss: 84MB	wf checking
time: 0.013; rss: 84MB	item-types checking
time: 0.207; rss: 94MB	item-bodies checking
time: 0.000; rss: 94MB	drop-impl checking
time: 0.010; rss: 94MB	const checking
time: 0.002; rss: 94MB	privacy checking
time: 0.000; rss: 94MB	stability index
time: 0.001; rss: 94MB	intrinsic checking
time: 0.000; rss: 94MB	effect checking
time: 0.006; rss: 94MB	match checking
time: 0.002; rss: 94MB	liveness checking
time: 0.006; rss: 94MB	rvalue checking
time: 0.016; rss: 100MB	MIR dump
time: 0.009; rss: 100MB	MIR passes
time: 0.021; rss: 100MB	borrow checking
time: 0.000; rss: 100MB	reachability checking
time: 0.002; rss: 100MB	death checking
time: 0.002; rss: 100MB	stability checking
time: 0.000; rss: 100MB	unused lib feature checking
time: 0.019; rss: 100MB	lint checking
time: 0.000; rss: 100MB	resolving dependency formats
  time: 0.026; rss: 111MB	translation item collection
  time: 0.057; rss: 148MB	write metadata
time: 0.319; rss: 148MB	translation
  time: 0.027; rss: 108MB	llvm function passes [0]
  time: 0.051; rss: 112MB	llvm module passes [0]
  time: 0.580; rss: 117MB	codegen passes [0]
  time: 0.001; rss: 102MB	codegen passes [0]
time: 0.723; rss: 101MB	LLVM passes
time: 0.054; rss: 99MB	linking
done
