commit 1af8f3e362fd1c931503703079467df027b57cdb
Merge: bf84f4e 4dcebd2
Author: bors <bors@rust-lang.org>
Date:   Tue Jun 14 00:24:33 2016 -0700

    Auto merge of #34266 - liigo:patch-8, r=Manishearth
    
    reference: link to proper ffi attributes
rustc: ./rust-encoding.0.2.32
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling encoding v0.2.32 (file:///root/benchmarks/rust-encoding.0.2.32)
time: 0.023; rss: 50MB	parsing
Lines of code:             6441
Pre-expansion node count:  30015
time: 0.003; rss: 50MB	configuration 1
time: 0.000; rss: 55MB	recursion limit
time: 0.000; rss: 55MB	crate injection
time: 0.000; rss: 55MB	plugin loading
time: 0.000; rss: 55MB	plugin registration
time: 0.077; rss: 90MB	expansion
time: 0.000; rss: 90MB	gated configuration checking
time: 0.000; rss: 90MB	maybe building test harness
time: 0.000; rss: 90MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 90MB	complete gated feature checking
Post-expansion node count: 40313
time: 0.003; rss: 90MB	assigning node ids
time: 0.001; rss: 91MB	collecting defs
time: 0.001; rss: 91MB	external crate/lib resolution
time: 0.002; rss: 91MB	early lint checks
time: 0.000; rss: 91MB	AST validation
time: 0.010; rss: 93MB	name resolution
time: 0.005; rss: 94MB	lowering ast -> hir
time: 0.001; rss: 95MB	indexing hir
time: 0.000; rss: 95MB	attribute checking
time: 0.000; rss: 93MB	language item collection
time: 0.001; rss: 93MB	lifetime resolution
time: 0.000; rss: 93MB	looking for entry point
time: 0.000; rss: 93MB	looking for plugin registrar
time: 0.006; rss: 94MB	region resolution
time: 0.000; rss: 94MB	loop checking
time: 0.000; rss: 94MB	static item recursion checking
time: 0.000; rss: 94MB	load_dep_graph
time: 0.012; rss: 96MB	type collecting
time: 0.000; rss: 96MB	variance inference
time: 0.024; rss: 100MB	coherence checking
time: 0.024; rss: 100MB	wf checking
time: 0.015; rss: 101MB	item-types checking
time: 0.238; rss: 108MB	item-bodies checking
time: 0.000; rss: 108MB	drop-impl checking
time: 0.013; rss: 108MB	const checking
time: 0.002; rss: 108MB	privacy checking
time: 0.000; rss: 108MB	stability index
time: 0.002; rss: 108MB	intrinsic checking
time: 0.000; rss: 108MB	effect checking
time: 0.008; rss: 108MB	match checking
time: 0.002; rss: 108MB	liveness checking
time: 0.008; rss: 108MB	rvalue checking
time: 0.035; rss: 115MB	MIR dump
time: 0.016; rss: 115MB	MIR passes
time: 0.025; rss: 115MB	borrow checking
time: 0.000; rss: 115MB	reachability checking
time: 0.002; rss: 115MB	death checking
time: 0.002; rss: 115MB	stability checking
time: 0.000; rss: 115MB	unused lib feature checking
time: 0.024; rss: 116MB	lint checking
time: 0.000; rss: 116MB	resolving dependency formats
time: 0.027; rss: 117MB	Prepare MIR codegen passes
  time: 0.060; rss: 118MB	write metadata
  time: 0.032; rss: 121MB	translation item collection
  time: 0.001; rss: 121MB	codegen unit partitioning
time: 0.434; rss: 148MB	translation
time: 0.000; rss: 148MB	assert dep graph
time: 0.000; rss: 148MB	serialize dep graph
  time: 0.027; rss: 116MB	llvm function passes [0]
  time: 0.052; rss: 121MB	llvm module passes [0]
  time: 0.582; rss: 126MB	codegen passes [0]
  time: 0.001; rss: 109MB	codegen passes [0]
time: 0.726; rss: 109MB	LLVM passes
time: 0.053; rss: 107MB	linking
done
