commit 62690b3c3fa6e157daa7f7c5a3af005f37eb4199
Merge: 7588653 ede39ae
Author: bors <bors@rust-lang.org>
Date:   Thu Jul 21 16:19:54 2016 -0700

    Auto merge of #34544 - 3Hren:issue/xx/reinterpret-format-precision-for-strings, r=alexcrichton
    
    feat: reinterpret `precision` field for strings
    
    This commit changes the behavior of formatting string arguments with both width and precision fields set.
    
    Documentation says that the `width` field is the "minimum width" that the format should take up. If the value's string does not fill up this many characters, then the padding specified by fill/alignment will be used to take up the required space.
    
    This is true for all formatted types except string, which is truncated down to `precision` number of chars and then all of `fill`, `align` and `width` fields are completely ignored.
    
    For example: `format!("{:/^10.8}", "1234567890);` emits "12345678". In the contrast Python version works as the expected:
    ```python
    >>> '{:/^10.8}'.format('1234567890')
    '/12345678/'
    ```
    
    This commit gives back the `Python` behavior by changing the `precision` field meaning to the truncation and nothing more. The result string *will* be prepended/appended up to the `width` field with the proper `fill` char.
    
    __However, this is the breaking change, I admit.__ Feel free to close it, but otherwise it should be mentioned in the `std::fmt` documentation somewhere near of `fill/align/width` fields description.
rustc: ./rust-encoding.0.2.32
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling encoding v0.2.32 (file:///root/benchmarks/rust-encoding.0.2.32)
time: 0.025; rss: 87MB	parsing
Lines of code:             6441
Pre-expansion node count:  30069
time: 0.003; rss: 91MB	configuration
time: 0.000; rss: 91MB	recursion limit
time: 0.000; rss: 91MB	crate injection
time: 0.000; rss: 91MB	plugin loading
time: 0.000; rss: 91MB	plugin registration
time: 0.048; rss: 128MB	expansion
time: 0.000; rss: 128MB	maybe building test harness
time: 0.003; rss: 128MB	assigning node ids
Post-expansion node count: 40757
time: 0.000; rss: 128MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 128MB	complete gated feature checking
time: 0.001; rss: 128MB	collecting defs
time: 0.001; rss: 130MB	external crate/lib resolution
time: 0.002; rss: 130MB	early lint checks
time: 0.000; rss: 130MB	AST validation
time: 0.006; rss: 130MB	name resolution
time: 0.004; rss: 132MB	lowering ast -> hir
time: 0.000; rss: 132MB	indexing hir
time: 0.000; rss: 132MB	attribute checking
time: 0.000; rss: 132MB	language item collection
time: 0.001; rss: 132MB	lifetime resolution
time: 0.000; rss: 132MB	looking for entry point
time: 0.000; rss: 132MB	looking for plugin registrar
time: 0.002; rss: 134MB	region resolution
time: 0.000; rss: 134MB	loop checking
time: 0.000; rss: 134MB	static item recursion checking
time: 0.000; rss: 134MB	load_dep_graph
time: 0.012; rss: 136MB	type collecting
time: 0.000; rss: 136MB	variance inference
time: 0.022; rss: 140MB	coherence checking
time: 0.025; rss: 140MB	wf checking
time: 0.016; rss: 140MB	item-types checking
time: 0.227; rss: 149MB	item-bodies checking
time: 0.000; rss: 149MB	drop-impl checking
time: 0.013; rss: 149MB	const checking
time: 0.002; rss: 149MB	privacy checking
time: 0.000; rss: 149MB	stability index
time: 0.002; rss: 149MB	intrinsic checking
time: 0.000; rss: 149MB	effect checking
time: 0.008; rss: 149MB	match checking
time: 0.002; rss: 149MB	liveness checking
time: 0.008; rss: 149MB	rvalue checking
time: 0.025; rss: 156MB	MIR dump
time: 0.016; rss: 156MB	MIR passes
time: 0.025; rss: 156MB	borrow checking
time: 0.000; rss: 156MB	reachability checking
time: 0.002; rss: 156MB	death checking
time: 0.002; rss: 156MB	stability checking
time: 0.000; rss: 156MB	unused lib feature checking
time: 0.025; rss: 158MB	lint checking
time: 0.000; rss: 158MB	resolving dependency formats
time: 0.027; rss: 158MB	Prepare MIR codegen passes
  time: 0.058; rss: 163MB	write metadata
  time: 0.034; rss: 164MB	translation item collection
  time: 0.003; rss: 164MB	codegen unit partitioning
time: 0.935; rss: 192MB	translation
time: 0.000; rss: 192MB	assert dep graph
time: 0.000; rss: 192MB	serialize dep graph
  time: 0.330; rss: 156MB	llvm function passes [0]
  time: 0.630; rss: 159MB	llvm module passes [0]
  time: 5.858; rss: 163MB	codegen passes [0]
  time: 0.001; rss: 163MB	codegen passes [0]
time: 7.202; rss: 162MB	LLVM passes
time: 0.054; rss: 145MB	linking
done
