commit e33562078ff6027c116cb43abd052e256354ab2f
Merge: 1e4c8b1 19d1929
Author: bors <bors@rust-lang.org>
Date:   Tue Oct 11 04:26:56 2016 -0700

    Auto merge of #36983 - alexcrichton:configure-multiple-musl, r=brson
    
    configure: Add options for separate musl roots
    
    This allows using the `./configure` script to enable rustbuild to compile
    multiple musl targets at once. We'll hopefully use this soon on our bots to
    produce a bunch of targets.
rustc: ./syntex-0.42.2
cargo rustc -p syntex_syntax -- -Ztime-passes -Zinput-stats
   Compiling syntex_syntax v0.42.0
time: 0.109; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  224033
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.273; rss: 145MB	expansion
time: 0.000; rss: 145MB	maybe building test harness
time: 0.006; rss: 145MB	maybe creating a macro crate
Post-expansion node count: 641571
time: 0.000; rss: 145MB	checking for inline asm in case the target doesn't support it
time: 0.014; rss: 145MB	complete gated feature checking
time: 0.024; rss: 145MB	early lint checks
time: 0.007; rss: 145MB	AST validation
time: 0.084; rss: 160MB	name resolution
time: 0.050; rss: 202MB	lowering ast -> hir
time: 0.009; rss: 210MB	indexing hir
time: 0.006; rss: 210MB	attribute checking
time: 0.005; rss: 160MB	language item collection
time: 0.012; rss: 160MB	lifetime resolution
time: 0.000; rss: 160MB	looking for entry point
time: 0.000; rss: 160MB	looking for plugin registrar
time: 0.044; rss: 172MB	region resolution
time: 0.006; rss: 172MB	loop checking
time: 0.006; rss: 172MB	static item recursion checking
time: 0.262; rss: 174MB	compute_incremental_hashes_map
time: 0.000; rss: 174MB	load_dep_graph
time: 0.044; rss: 175MB	type collecting
time: 0.001; rss: 175MB	variance inference
time: 0.039; rss: 178MB	coherence checking
time: 0.098; rss: 180MB	wf checking
time: 0.190; rss: 186MB	item-types checking
time: 3.918; rss: 242MB	item-bodies checking
time: 0.000; rss: 242MB	drop-impl checking
time: 0.312; rss: 242MB	const checking
time: 0.054; rss: 242MB	privacy checking
time: 0.007; rss: 242MB	stability index
time: 0.021; rss: 242MB	intrinsic checking
time: 0.018; rss: 242MB	effect checking
time: 0.056; rss: 242MB	match checking
time: 0.054; rss: 236MB	liveness checking
time: 0.283; rss: 236MB	rvalue checking
time: 0.414; rss: 425MB	MIR dump
  time: 0.057; rss: 429MB	SimplifyCfg
  time: 0.081; rss: 429MB	QualifyAndPromoteConstants
  time: 0.109; rss: 429MB	TypeckMir
  time: 0.004; rss: 429MB	SimplifyBranches
  time: 0.032; rss: 429MB	SimplifyCfg
time: 0.284; rss: 429MB	MIR passes
time: 0.681; rss: 429MB	borrow checking
time: 0.022; rss: 429MB	reachability checking
time: 0.045; rss: 429MB	death checking
time: 0.041; rss: 429MB	stability checking
time: 0.000; rss: 429MB	unused lib feature checking
time: 0.218; rss: 429MB	lint checking
time: 0.000; rss: 429MB	resolving dependency formats
  time: 0.003; rss: 429MB	NoLandingPads
  time: 0.027; rss: 429MB	SimplifyCfg
  time: 0.072; rss: 442MB	EraseRegions
  time: 0.011; rss: 442MB	AddCallGuards
  time: 1.041; rss: 460MB	ElaborateDrops
  time: 0.003; rss: 460MB	NoLandingPads
  time: 0.054; rss: 458MB	SimplifyCfg
  time: 0.031; rss: 457MB	InstCombine
  time: 0.012; rss: 457MB	Deaggregator
  time: 0.003; rss: 457MB	CopyPropagation
  time: 0.009; rss: 457MB	AddCallGuards
  time: 0.003; rss: 457MB	PreTrans
time: 1.270; rss: 457MB	Prepare MIR codegen passes
  time: 0.262; rss: 464MB	write metadata
  time: 0.462; rss: 475MB	translation item collection
  time: 0.067; rss: 478MB	codegen unit partitioning
  time: 0.057; rss: 723MB	internalize symbols
time: 5.162; rss: 602MB	translation
time: 0.000; rss: 602MB	assert dep graph
time: 0.000; rss: 602MB	serialize dep graph
  time: 0.509; rss: 409MB	llvm function passes [0]
  time: 0.243; rss: 418MB	llvm module passes [0]
  time: 10.010; rss: 411MB	codegen passes [0]
  time: 0.001; rss: 413MB	codegen passes [0]
time: 11.507; rss: 413MB	LLVM passes
time: 0.000; rss: 413MB	serialize work products
time: 0.662; rss: 107MB	linking
done
