commit a29c49f5cca849cd5ac79b3cd70b934bb33cf4e6
Merge: 0b2c356 f5827d0
Author: bors <bors@rust-lang.org>
Date:   Tue Oct 11 23:36:29 2016 -0700

    Auto merge of #37095 - petrochenkov:metactor, r=alexcrichton
    
    Temporary fix for metadata decoding for struct constructors
    
    Same as https://github.com/rust-lang/rust/pull/37078, but for nightly.
    Ideally, metadata lookup functions should "just work" for constructor ids, but this fixes the issue as well.
    
    Fixes https://github.com/rust-lang/rust/issues/37026
    r? @alexcrichton
rustc: ./syntex-0.42.2
cargo rustc -p syntex_syntax -- -Ztime-passes -Zinput-stats
   Compiling bitflags v0.5.0
   Compiling rustc-serialize v0.3.19
   Compiling unicode-xid v0.0.3
   Compiling log v0.3.6
   Compiling winapi-build v0.1.1
   Compiling libc v0.2.15
   Compiling winapi v0.2.8
   Compiling kernel32-sys v0.2.2
   Compiling term v0.4.4
   Compiling syntex_pos v0.42.0
   Compiling syntex_errors v0.42.0
   Compiling syntex_syntax v0.42.0
time: 0.163; rss: 72MB	parsing
Lines of code:             33687
Pre-expansion node count:  224033
time: 0.000; rss: 72MB	recursion limit
time: 0.000; rss: 72MB	crate injection
time: 0.000; rss: 72MB	plugin loading
time: 0.000; rss: 72MB	plugin registration
time: 0.359; rss: 140MB	expansion
time: 0.000; rss: 140MB	maybe building test harness
time: 0.007; rss: 140MB	maybe creating a macro crate
Post-expansion node count: 641571
time: 0.000; rss: 140MB	checking for inline asm in case the target doesn't support it
time: 0.014; rss: 140MB	complete gated feature checking
time: 0.024; rss: 140MB	early lint checks
time: 0.008; rss: 140MB	AST validation
time: 0.111; rss: 155MB	name resolution
time: 0.127; rss: 196MB	lowering ast -> hir
time: 0.024; rss: 204MB	indexing hir
time: 0.007; rss: 204MB	attribute checking
time: 0.006; rss: 156MB	language item collection
time: 0.012; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.067; rss: 164MB	region resolution
time: 0.006; rss: 164MB	loop checking
time: 0.006; rss: 164MB	static item recursion checking
time: 0.264; rss: 166MB	compute_incremental_hashes_map
time: 0.000; rss: 166MB	load_dep_graph
time: 0.044; rss: 171MB	type collecting
time: 0.001; rss: 171MB	variance inference
time: 0.039; rss: 175MB	coherence checking
time: 0.101; rss: 177MB	wf checking
time: 0.206; rss: 182MB	item-types checking
time: 4.101; rss: 221MB	item-bodies checking
time: 0.000; rss: 221MB	drop-impl checking
time: 0.338; rss: 224MB	const checking
time: 0.057; rss: 224MB	privacy checking
time: 0.007; rss: 224MB	stability index
time: 0.023; rss: 224MB	intrinsic checking
time: 0.020; rss: 225MB	effect checking
time: 0.058; rss: 225MB	match checking
time: 0.090; rss: 220MB	liveness checking
time: 0.306; rss: 220MB	rvalue checking
time: 0.665; rss: 397MB	MIR dump
  time: 0.065; rss: 404MB	SimplifyCfg
  time: 0.087; rss: 404MB	QualifyAndPromoteConstants
  time: 0.113; rss: 404MB	TypeckMir
  time: 0.005; rss: 404MB	SimplifyBranches
  time: 0.032; rss: 404MB	SimplifyCfg
time: 0.301; rss: 404MB	MIR passes
time: 0.721; rss: 407MB	borrow checking
time: 0.022; rss: 407MB	reachability checking
time: 0.048; rss: 407MB	death checking
time: 0.044; rss: 408MB	stability checking
time: 0.000; rss: 408MB	unused lib feature checking
time: 0.230; rss: 408MB	lint checking
time: 0.000; rss: 408MB	resolving dependency formats
  time: 0.003; rss: 408MB	NoLandingPads
  time: 0.027; rss: 408MB	SimplifyCfg
  time: 0.095; rss: 416MB	EraseRegions
  time: 0.012; rss: 416MB	AddCallGuards
  time: 1.077; rss: 435MB	ElaborateDrops
  time: 0.003; rss: 435MB	NoLandingPads
  time: 0.054; rss: 435MB	SimplifyCfg
  time: 0.031; rss: 435MB	InstCombine
  time: 0.012; rss: 435MB	Deaggregator
  time: 0.003; rss: 435MB	CopyPropagation
  time: 0.010; rss: 435MB	AddCallGuards
  time: 0.003; rss: 435MB	PreTrans
time: 1.330; rss: 435MB	Prepare MIR codegen passes
  time: 0.282; rss: 442MB	write metadata
  time: 0.488; rss: 450MB	translation item collection
  time: 0.068; rss: 456MB	codegen unit partitioning
  time: 0.058; rss: 705MB	internalize symbols
time: 5.747; rss: 585MB	translation
time: 0.000; rss: 585MB	assert dep graph
time: 0.000; rss: 585MB	serialize dep graph
  time: 0.512; rss: 407MB	llvm function passes [0]
  time: 0.249; rss: 415MB	llvm module passes [0]
  time: 10.031; rss: 412MB	codegen passes [0]
  time: 0.002; rss: 408MB	codegen passes [0]
time: 11.707; rss: 408MB	LLVM passes
time: 0.000; rss: 408MB	serialize work products
time: 0.665; rss: 105MB	linking
done
