commit eb38d426c41aa8487e8cb8a9dafbfcf3528201f9
Merge: dfd98eb cde42cd
Author: bors <bors@rust-lang.org>
Date:   Wed Oct 19 22:05:13 2016 -0700

    Auto merge of #36973 - nnethercote:dep_graph, r=nikomatsakis
    
    Don't enqueue onto a disabled dep_graph.
    
    This commit guards all calls to `DepGraphThreadData::enqueue` with a
    check to make sure it is enabled. This avoids some useless allocation
    and vector manipulations when it is disabled (i.e. when incremental
    compilation is off) which improves speed by 1--2% on most of the
    rustc-benchmarks.
    
    This commit has an observable functional change: when the dep_graph is
    disabled its `shadow_graph` will no longer receive messages. This should
    be ok because these message are only used when debug assertions are
    enabled.
    
    r? @nikomatsakis
rustc: ./syntex-0.42.2
cargo rustc -p syntex_syntax -- -Ztime-passes -Zinput-stats
   Compiling syntex_syntax v0.42.0
time: 0.109; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  224033
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.267; rss: 148MB	expansion
time: 0.000; rss: 148MB	maybe building test harness
time: 0.006; rss: 148MB	maybe creating a macro crate
Post-expansion node count: 641571
time: 0.000; rss: 148MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 148MB	complete gated feature checking
time: 0.022; rss: 148MB	early lint checks
time: 0.007; rss: 148MB	AST validation
time: 0.086; rss: 162MB	name resolution
time: 0.048; rss: 202MB	lowering ast -> hir
time: 0.009; rss: 213MB	indexing hir
time: 0.006; rss: 213MB	attribute checking
time: 0.005; rss: 164MB	language item collection
time: 0.011; rss: 164MB	lifetime resolution
time: 0.000; rss: 164MB	looking for entry point
time: 0.000; rss: 164MB	looking for plugin registrar
time: 0.043; rss: 175MB	region resolution
time: 0.006; rss: 175MB	loop checking
time: 0.005; rss: 175MB	static item recursion checking
time: 0.529; rss: 176MB	compute_incremental_hashes_map
time: 0.000; rss: 176MB	load_dep_graph
time: 0.042; rss: 182MB	type collecting
time: 0.001; rss: 182MB	variance inference
time: 0.034; rss: 184MB	coherence checking
time: 0.100; rss: 188MB	wf checking
time: 0.187; rss: 194MB	item-types checking
time: 3.877; rss: 242MB	item-bodies checking
time: 0.000; rss: 242MB	drop-impl checking
time: 0.253; rss: 244MB	const checking
time: 0.052; rss: 244MB	privacy checking
time: 0.007; rss: 244MB	stability index
time: 0.021; rss: 244MB	intrinsic checking
time: 0.018; rss: 244MB	effect checking
time: 0.055; rss: 244MB	match checking
time: 0.053; rss: 239MB	liveness checking
time: 0.212; rss: 239MB	rvalue checking
time: 0.402; rss: 428MB	MIR dump
  time: 0.059; rss: 431MB	SimplifyCfg
  time: 0.079; rss: 431MB	QualifyAndPromoteConstants
  time: 0.109; rss: 431MB	TypeckMir
  time: 0.004; rss: 431MB	SimplifyBranches
  time: 0.033; rss: 431MB	SimplifyCfg
time: 0.284; rss: 431MB	MIR passes
time: 0.562; rss: 432MB	borrow checking
time: 0.018; rss: 432MB	reachability checking
time: 0.043; rss: 432MB	death checking
time: 0.041; rss: 432MB	stability checking
time: 0.000; rss: 432MB	unused lib feature checking
time: 0.214; rss: 432MB	lint checking
time: 0.000; rss: 432MB	resolving dependency formats
  time: 0.003; rss: 432MB	NoLandingPads
  time: 0.028; rss: 432MB	SimplifyCfg
  time: 0.068; rss: 440MB	EraseRegions
  time: 0.011; rss: 440MB	AddCallGuards
  time: 0.286; rss: 461MB	ElaborateDrops
  time: 0.003; rss: 461MB	NoLandingPads
  time: 0.054; rss: 461MB	SimplifyCfg
  time: 0.030; rss: 460MB	InstCombine
  time: 0.012; rss: 460MB	Deaggregator
  time: 0.003; rss: 460MB	CopyPropagation
  time: 0.009; rss: 460MB	AddCallGuards
  time: 0.002; rss: 460MB	PreTrans
time: 0.508; rss: 460MB	Prepare MIR codegen passes
  time: 0.060; rss: 466MB	write metadata
  time: 0.425; rss: 475MB	translation item collection
  time: 0.058; rss: 484MB	codegen unit partitioning
  time: 0.048; rss: 728MB	internalize symbols
time: 4.869; rss: 607MB	translation
time: 0.000; rss: 607MB	assert dep graph
time: 0.000; rss: 607MB	serialize dep graph
  time: 0.509; rss: 407MB	llvm function passes [0]
  time: 0.240; rss: 416MB	llvm module passes [0]
  time: 10.019; rss: 411MB	codegen passes [0]
  time: 0.000; rss: 411MB	codegen passes [0]
time: 11.515; rss: 411MB	LLVM passes
time: 0.000; rss: 411MB	serialize work products
time: 0.660; rss: 106MB	linking
done
