commit 89386d62ab2ae38771b48a64a72ff73f954c4564
Merge: c57b826 850e355
Author: bors <bors@rust-lang.org>
Date:   Thu Nov 17 10:57:08 2016 -0800

    Auto merge of #37837 - GuillaumeGomez:rollup, r=GuillaumeGomez
    
    Rollup of 8 pull requests
    
    - Successful merges: #37752, #37757, #37759, #37766, #37772, #37799, #37806, #37821
    - Failed merges: #37442
rustc: ./syntex-0.42.2
cargo rustc -p syntex_syntax  -- -Ztime-passes -Zinput-stats
   Compiling syntex_syntax v0.42.0
time: 0.092; rss: 71MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 71MB	recursion limit
time: 0.000; rss: 71MB	crate injection
time: 0.000; rss: 71MB	plugin loading
time: 0.000; rss: 71MB	plugin registration
time: 0.232; rss: 146MB	expansion
time: 0.000; rss: 146MB	maybe building test harness
time: 0.006; rss: 146MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 146MB	checking for inline asm in case the target doesn't support it
time: 0.013; rss: 146MB	complete gated feature checking
time: 0.022; rss: 146MB	early lint checks
time: 0.007; rss: 146MB	AST validation
time: 0.076; rss: 161MB	name resolution
time: 0.045; rss: 186MB	lowering ast -> hir
time: 0.008; rss: 194MB	indexing hir
time: 0.006; rss: 194MB	attribute checking
time: 0.004; rss: 150MB	language item collection
time: 0.010; rss: 150MB	lifetime resolution
time: 0.000; rss: 150MB	looking for entry point
time: 0.000; rss: 150MB	looking for plugin registrar
time: 0.040; rss: 171MB	region resolution
time: 0.005; rss: 171MB	loop checking
time: 0.004; rss: 171MB	static item recursion checking
time: 0.325; rss: 171MB	compute_incremental_hashes_map
time: 0.000; rss: 171MB	load_dep_graph
time: 0.048; rss: 168MB	type collecting
time: 0.001; rss: 168MB	variance inference
time: 0.018; rss: 172MB	coherence checking
time: 0.092; rss: 176MB	wf checking
time: 0.181; rss: 181MB	item-types checking
time: 3.308; rss: 231MB	item-bodies checking
time: 0.000; rss: 231MB	drop-impl checking
time: 0.216; rss: 253MB	const checking
time: 0.044; rss: 253MB	privacy checking
time: 0.005; rss: 253MB	stability index
time: 0.017; rss: 253MB	intrinsic checking
time: 0.014; rss: 253MB	effect checking
time: 0.046; rss: 253MB	match checking
time: 0.048; rss: 242MB	liveness checking
time: 0.175; rss: 242MB	rvalue checking
time: 0.365; rss: 437MB	MIR dump
  time: 0.057; rss: 439MB	SimplifyCfg
  time: 0.074; rss: 439MB	QualifyAndPromoteConstants
  time: 0.106; rss: 439MB	TypeckMir
  time: 0.004; rss: 439MB	SimplifyBranches
  time: 0.030; rss: 439MB	SimplifyCfg
time: 0.271; rss: 439MB	MIR cleanup and validation
time: 0.479; rss: 440MB	borrow checking
time: 0.025; rss: 440MB	reachability checking
time: 0.039; rss: 440MB	death checking
time: 0.031; rss: 442MB	stability checking
time: 0.000; rss: 442MB	unused lib feature checking
time: 0.197; rss: 442MB	lint checking
time: 0.000; rss: 442MB	resolving dependency formats
  time: 0.003; rss: 442MB	NoLandingPads
  time: 0.026; rss: 442MB	SimplifyCfg
  time: 0.063; rss: 450MB	EraseRegions
  time: 0.011; rss: 450MB	AddCallGuards
  time: 0.270; rss: 465MB	ElaborateDrops
  time: 0.003; rss: 465MB	NoLandingPads
  time: 0.051; rss: 465MB	SimplifyCfg
  time: 0.029; rss: 465MB	InstCombine
  time: 0.012; rss: 465MB	Deaggregator
  time: 0.002; rss: 465MB	CopyPropagation
  time: 0.034; rss: 465MB	SimplifyLocals
  time: 0.010; rss: 465MB	AddCallGuards
  time: 0.003; rss: 465MB	PreTrans
time: 0.517; rss: 465MB	MIR optimisations
  time: 0.062; rss: 476MB	write metadata
  time: 0.401; rss: 487MB	translation item collection
  time: 0.066; rss: 496MB	codegen unit partitioning
  time: 0.047; rss: 739MB	internalize symbols
time: 4.407; rss: 739MB	translation
time: 0.000; rss: 739MB	assert dep graph
time: 0.000; rss: 739MB	serialize dep graph
  time: 0.524; rss: 419MB	llvm function passes [0]
  time: 0.256; rss: 428MB	llvm module passes [0]
  time: 10.459; rss: 422MB	codegen passes [0]
  time: 0.000; rss: 422MB	codegen passes [0]
time: 12.001; rss: 422MB	LLVM passes
time: 0.000; rss: 422MB	serialize work products
time: 0.341; rss: 106MB	linking
done
