commit d9aae6362d566497d55a94da060ec163cd874a41
Merge: 7b06438 8e9f7f5
Author: bors <bors@rust-lang.org>
Date:   Thu Dec 8 03:03:51 2016 +0000

    Auto merge of #38076 - alexcrichton:another-rustbuild-bug, r=japaric
    
    rustbuild: Use src/rustc for assembled compilers
    
    The `src/rustc` path is intended for assembling a compiler (e.g. the bare bones)
    not actually compiling the whole compiler itself. This path was accidentally
    getting hijacked to represent the whole compiler being compiled, so let's
    redirect that elsewhere for that particular cargo project.
    
    Closes #38039
rustc: ./syntex-0.42.2@010-incr
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.092; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.316; rss: 152MB	expansion
time: 0.000; rss: 152MB	maybe building test harness
time: 0.007; rss: 152MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 152MB	checking for inline asm in case the target doesn't support it
time: 0.015; rss: 152MB	complete gated feature checking
time: 0.033; rss: 152MB	early lint checks
time: 0.008; rss: 152MB	AST validation
time: 0.100; rss: 166MB	name resolution
time: 0.072; rss: 200MB	lowering ast -> hir
time: 0.012; rss: 192MB	indexing hir
time: 0.008; rss: 192MB	attribute checking
time: 0.003; rss: 154MB	language item collection
time: 0.014; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.057; rss: 177MB	region resolution
time: 0.009; rss: 177MB	loop checking
time: 0.003; rss: 177MB	static item recursion checking
time: 0.542; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.021; rss: 182MB	stability checking
time: 0.055; rss: 190MB	type collecting
time: 0.004; rss: 190MB	variance inference
time: 0.006; rss: 193MB	impl wf inference
time: 0.025; rss: 197MB	coherence checking
time: 0.088; rss: 199MB	wf checking
time: 0.196; rss: 208MB	item-types checking
time: 3.570; rss: 266MB	item-bodies checking
time: 0.000; rss: 266MB	drop-impl checking
time: 0.215; rss: 277MB	const checking
time: 0.057; rss: 277MB	privacy checking
time: 0.020; rss: 283MB	intrinsic checking
time: 0.016; rss: 283MB	effect checking
time: 0.049; rss: 283MB	match checking
time: 0.049; rss: 291MB	liveness checking
time: 0.175; rss: 293MB	rvalue checking
time: 0.364; rss: 482MB	MIR dump
  time: 0.056; rss: 483MB	SimplifyCfg
  time: 0.075; rss: 483MB	QualifyAndPromoteConstants
  time: 0.120; rss: 500MB	TypeckMir
  time: 0.004; rss: 500MB	SimplifyBranches
  time: 0.033; rss: 500MB	SimplifyCfg
time: 0.288; rss: 500MB	MIR cleanup and validation
time: 0.470; rss: 501MB	borrow checking
time: 0.024; rss: 501MB	reachability checking
time: 0.038; rss: 501MB	death checking
time: 0.000; rss: 501MB	unused lib feature checking
time: 0.177; rss: 501MB	lint checking
time: 0.000; rss: 501MB	resolving dependency formats
  time: 0.004; rss: 501MB	NoLandingPads
  time: 0.027; rss: 501MB	SimplifyCfg
  time: 0.064; rss: 509MB	EraseRegions
  time: 0.011; rss: 509MB	AddCallGuards
  time: 0.270; rss: 529MB	ElaborateDrops
  time: 0.004; rss: 529MB	NoLandingPads
  time: 0.052; rss: 529MB	SimplifyCfg
  time: 0.028; rss: 529MB	InstCombine
  time: 0.012; rss: 529MB	Deaggregator
  time: 0.003; rss: 529MB	CopyPropagation
  time: 0.035; rss: 529MB	SimplifyLocals
  time: 0.010; rss: 529MB	AddCallGuards
  time: 0.003; rss: 529MB	PreTrans
time: 0.522; rss: 529MB	MIR optimisations
  time: 0.065; rss: 539MB	write metadata
  time: 0.399; rss: 551MB	translation item collection
  time: 0.072; rss: 556MB	codegen unit partitioning
  time: 0.048; rss: 1457MB	internalize symbols
time: 11.805; rss: 1457MB	translation
time: 0.000; rss: 1457MB	assert dep graph
time: 1.374; rss: 1485MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1197MB	llvm function passes [1]
time: 0.000; rss: 1197MB	llvm module passes [1]
time: 0.001; rss: 1204MB	llvm function passes [4]
time: 0.000; rss: 1206MB	llvm module passes [4]
time: 0.001; rss: 1208MB	llvm function passes [0]
time: 0.000; rss: 1208MB	llvm module passes [0]
time: 0.002; rss: 1214MB	llvm function passes [2]
time: 0.000; rss: 1214MB	llvm module passes [2]
time: 0.003; rss: 1214MB	llvm function passes [5]
time: 0.001; rss: 1218MB	llvm function passes [9]
time: 0.001; rss: 1218MB	llvm module passes [9]
time: 0.009; rss: 1229MB	llvm module passes [5]
time: 0.013; rss: 1229MB	llvm function passes [3]
time: 0.015; rss: 1229MB	llvm function passes [6]
time: 0.006; rss: 1229MB	llvm module passes [3]
time: 0.023; rss: 1229MB	codegen passes [1]
time: 0.008; rss: 1229MB	llvm module passes [6]
time: 0.018; rss: 1229MB	llvm function passes [13]
time: 0.022; rss: 1229MB	llvm function passes [10]
time: 0.032; rss: 1229MB	codegen passes [4]
time: 0.007; rss: 1229MB	llvm module passes [13]
time: 0.014; rss: 1237MB	llvm function passes [1]
time: 0.014; rss: 1240MB	llvm module passes [10]
time: 0.008; rss: 1240MB	llvm module passes [1]
time: 0.045; rss: 1246MB	codegen passes [0]
time: 0.003; rss: 1246MB	llvm function passes [0]
time: 0.001; rss: 1246MB	llvm module passes [0]
time: 0.000; rss: 1246MB	llvm function passes [15]
time: 0.000; rss: 1246MB	llvm module passes [15]
time: 0.021; rss: 1257MB	codegen passes [15]
time: 0.000; rss: 1259MB	llvm function passes [16]
time: 0.000; rss: 1259MB	llvm module passes [16]
time: 0.001; rss: 1262MB	llvm function passes [18]
