commit 8f02c429ad3e2ad687a222d1daae2e04bb9bb876
Merge: f70ad0a 67ae4ab
Author: bors <bors@rust-lang.org>
Date:   Thu Dec 15 19:43:28 2016 +0000

    Auto merge of #38394 - alexcrichton:fix-nightlies, r=brson
    
    rustbuild: Package rust-mingw by default
    
    This fixes the `make dist` step on MinGW to package the `rust-mingw` component
    by default. This should hopefully be the last step in fixing nightlies.
rustc: ./syntex-0.42.2@010-incr@010-incr
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.092; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.251; rss: 151MB	expansion
time: 0.000; rss: 151MB	maybe building test harness
time: 0.007; rss: 151MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 151MB	checking for inline asm in case the target doesn't support it
time: 0.013; rss: 151MB	complete gated feature checking
time: 0.025; rss: 151MB	early lint checks
time: 0.008; rss: 151MB	AST validation
time: 0.080; rss: 166MB	name resolution
time: 0.066; rss: 200MB	lowering ast -> hir
time: 0.011; rss: 192MB	indexing hir
time: 0.007; rss: 192MB	attribute checking
time: 0.002; rss: 154MB	language item collection
time: 0.012; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.050; rss: 177MB	region resolution
time: 0.007; rss: 177MB	loop checking
time: 0.002; rss: 177MB	static item recursion checking
time: 0.381; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.020; rss: 182MB	stability checking
time: 0.056; rss: 190MB	type collecting
time: 0.004; rss: 190MB	variance inference
time: 0.006; rss: 194MB	impl wf inference
time: 0.025; rss: 197MB	coherence checking
time: 0.086; rss: 200MB	wf checking
time: 0.195; rss: 208MB	item-types checking
time: 3.567; rss: 266MB	item-bodies checking
time: 0.000; rss: 266MB	drop-impl checking
time: 0.211; rss: 277MB	const checking
time: 0.057; rss: 277MB	privacy checking
time: 0.019; rss: 284MB	intrinsic checking
time: 0.016; rss: 284MB	effect checking
time: 0.049; rss: 284MB	match checking
time: 0.049; rss: 291MB	liveness checking
time: 0.176; rss: 293MB	rvalue checking
time: 0.368; rss: 482MB	MIR dump
  time: 0.056; rss: 483MB	SimplifyCfg
  time: 0.073; rss: 483MB	QualifyAndPromoteConstants
  time: 0.120; rss: 500MB	TypeckMir
  time: 0.004; rss: 500MB	SimplifyBranches
  time: 0.031; rss: 500MB	SimplifyCfg
time: 0.296; rss: 500MB	MIR cleanup and validation
time: 0.468; rss: 500MB	borrow checking
time: 0.024; rss: 500MB	reachability checking
time: 0.038; rss: 500MB	death checking
time: 0.000; rss: 500MB	unused lib feature checking
time: 0.180; rss: 500MB	lint checking
time: 0.000; rss: 500MB	resolving dependency formats
  time: 0.004; rss: 500MB	NoLandingPads
  time: 0.027; rss: 500MB	SimplifyCfg
  time: 0.064; rss: 509MB	EraseRegions
  time: 0.011; rss: 509MB	AddCallGuards
  time: 0.270; rss: 529MB	ElaborateDrops
  time: 0.003; rss: 529MB	NoLandingPads
  time: 0.052; rss: 529MB	SimplifyCfg
  time: 0.028; rss: 529MB	InstCombine
  time: 0.012; rss: 529MB	Deaggregator
  time: 0.004; rss: 529MB	CopyPropagation
  time: 0.035; rss: 529MB	SimplifyLocals
  time: 0.010; rss: 529MB	AddCallGuards
  time: 0.003; rss: 529MB	PreTrans
time: 0.523; rss: 529MB	MIR optimisations
  time: 0.065; rss: 538MB	write metadata
  time: 0.390; rss: 551MB	translation item collection
  time: 0.072; rss: 556MB	codegen unit partitioning
  time: 0.052; rss: 1452MB	internalize symbols
time: 13.238; rss: 1452MB	translation
time: 0.000; rss: 1452MB	assert dep graph
time: 2.066; rss: 1480MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1191MB	llvm function passes [0]
time: 0.000; rss: 1191MB	llvm module passes [0]
time: 0.001; rss: 1199MB	llvm function passes [1]
time: 0.000; rss: 1199MB	llvm function passes [5]
time: 0.000; rss: 1199MB	llvm module passes [5]
time: 0.000; rss: 1199MB	llvm module passes [1]
time: 0.003; rss: 1207MB	llvm function passes [3]
time: 0.000; rss: 1207MB	llvm module passes [3]
time: 0.003; rss: 1207MB	llvm function passes [2]
time: 0.001; rss: 1214MB	llvm function passes [10]
time: 0.004; rss: 1214MB	llvm module passes [2]
time: 0.006; rss: 1214MB	codegen passes [0]
time: 0.011; rss: 1214MB	llvm function passes [6]
time: 0.008; rss: 1214MB	llvm module passes [10]
time: 0.017; rss: 1218MB	llvm function passes [4]
time: 0.017; rss: 1218MB	codegen passes [1]
time: 0.019; rss: 1220MB	codegen passes [5]
time: 0.011; rss: 1220MB	llvm module passes [6]
time: 0.007; rss: 1220MB	llvm module passes [4]
time: 0.019; rss: 1220MB	llvm function passes [0]
time: 0.012; rss: 1223MB	llvm module passes [0]
time: 0.013; rss: 1227MB	llvm function passes [12]
time: 0.008; rss: 1231MB	llvm module passes [12]
time: 0.036; rss: 1233MB	codegen passes [10]
time: 0.000; rss: 1241MB	llvm function passes [13]
time: 0.000; rss: 1241MB	llvm module passes [13]
time: 0.001; rss: 1241MB	codegen passes [13]
time: 0.076; rss: 1243MB	codegen passes [3]
time: 0.050; rss: 1247MB	llvm function passes [11]
time: 0.080; rss: 1247MB	codegen passes [2]
time: 0.009; rss: 1253MB	llvm module passes [11]
time: 0.001; rss: 1257MB	llvm function passes [15]
time: 0.000; rss: 1257MB	llvm module passes [15]
time: 0.022; rss: 1257MB	llvm function passes [13]
time: 0.001; rss: 1257MB	llvm module passes [13]
