commit 0102127963098b7656f0213206908d6597018d5f
Merge: 71c06a5 1605254
Author: bors <bors@rust-lang.org>
Date:   Mon Dec 19 01:23:32 2016 +0000

    Auto merge of #38140 - jseyfried:proc_macro_visibility, r=nrc
    
    Require `#[proc_macro_derive]` functions to be `pub`
    
    r? @nrc
rustc: ./syntex-0.42.2
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.093; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.252; rss: 151MB	expansion
time: 0.000; rss: 151MB	maybe building test harness
time: 0.007; rss: 151MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 151MB	checking for inline asm in case the target doesn't support it
time: 0.014; rss: 151MB	complete gated feature checking
time: 0.025; rss: 151MB	early lint checks
time: 0.008; rss: 151MB	AST validation
time: 0.082; rss: 166MB	name resolution
time: 0.067; rss: 200MB	lowering ast -> hir
time: 0.011; rss: 192MB	indexing hir
time: 0.007; rss: 192MB	attribute checking
time: 0.002; rss: 154MB	language item collection
time: 0.013; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.051; rss: 177MB	region resolution
time: 0.009; rss: 177MB	loop checking
time: 0.002; rss: 177MB	static item recursion checking
time: 0.383; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.021; rss: 181MB	stability checking
time: 0.057; rss: 190MB	type collecting
time: 0.004; rss: 190MB	variance inference
time: 0.006; rss: 193MB	impl wf inference
time: 0.026; rss: 197MB	coherence checking
time: 0.090; rss: 200MB	wf checking
time: 0.204; rss: 208MB	item-types checking
time: 3.601; rss: 267MB	item-bodies checking
time: 0.000; rss: 267MB	drop-impl checking
time: 0.223; rss: 276MB	const checking
time: 0.068; rss: 277MB	privacy checking
time: 0.021; rss: 283MB	intrinsic checking
time: 0.016; rss: 283MB	effect checking
time: 0.050; rss: 283MB	match checking
time: 0.049; rss: 290MB	liveness checking
time: 0.179; rss: 292MB	rvalue checking
time: 0.364; rss: 482MB	MIR dump
  time: 0.056; rss: 483MB	SimplifyCfg
  time: 0.076; rss: 483MB	QualifyAndPromoteConstants
  time: 0.119; rss: 500MB	TypeckMir
  time: 0.005; rss: 500MB	SimplifyBranches
  time: 0.033; rss: 500MB	SimplifyCfg
time: 0.289; rss: 500MB	MIR cleanup and validation
time: 0.486; rss: 500MB	borrow checking
time: 0.024; rss: 500MB	reachability checking
time: 0.039; rss: 500MB	death checking
time: 0.000; rss: 500MB	unused lib feature checking
time: 0.175; rss: 500MB	lint checking
time: 0.000; rss: 500MB	resolving dependency formats
  time: 0.004; rss: 500MB	NoLandingPads
  time: 0.027; rss: 500MB	SimplifyCfg
  time: 0.064; rss: 509MB	EraseRegions
  time: 0.011; rss: 509MB	AddCallGuards
  time: 0.288; rss: 529MB	ElaborateDrops
  time: 0.004; rss: 529MB	NoLandingPads
  time: 0.053; rss: 528MB	SimplifyCfg
  time: 0.029; rss: 528MB	InstCombine
  time: 0.013; rss: 528MB	Deaggregator
  time: 0.004; rss: 528MB	CopyPropagation
  time: 0.035; rss: 528MB	SimplifyLocals
  time: 0.010; rss: 528MB	AddCallGuards
  time: 0.003; rss: 528MB	PreTrans
time: 0.544; rss: 528MB	MIR optimisations
  time: 0.066; rss: 537MB	write metadata
  time: 0.404; rss: 551MB	translation item collection
  time: 0.071; rss: 555MB	codegen unit partitioning
  time: 0.048; rss: 1457MB	internalize symbols
time: 11.704; rss: 1457MB	translation
time: 0.000; rss: 1457MB	assert dep graph
time: 1.398; rss: 1485MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1193MB	llvm function passes [0]
time: 0.000; rss: 1197MB	llvm module passes [0]
time: 0.001; rss: 1201MB	llvm function passes [1]
time: 0.000; rss: 1201MB	llvm module passes [1]
time: 0.001; rss: 1207MB	llvm function passes [3]
time: 0.000; rss: 1207MB	llvm module passes [3]
time: 0.002; rss: 1210MB	llvm function passes [2]
time: 0.000; rss: 1210MB	llvm module passes [2]
time: 0.002; rss: 1210MB	codegen passes [0]
time: 0.004; rss: 1210MB	llvm function passes [5]
time: 0.005; rss: 1210MB	codegen passes [1]
time: 0.001; rss: 1210MB	llvm module passes [5]
time: 0.001; rss: 1210MB	llvm function passes [1]
time: 0.000; rss: 1210MB	llvm module passes [1]
time: 0.011; rss: 1212MB	llvm function passes [6]
time: 0.008; rss: 1212MB	codegen passes [3]
time: 0.016; rss: 1212MB	llvm function passes [4]
time: 0.006; rss: 1212MB	llvm module passes [6]
time: 0.018; rss: 1214MB	codegen passes [2]
time: 0.008; rss: 1214MB	llvm module passes [4]
time: 0.016; rss: 1214MB	codegen passes [1]
time: 0.000; rss: 1235MB	llvm function passes [49]
time: 0.000; rss: 1235MB	llvm module passes [49]
time: 0.019; rss: 1235MB	llvm function passes [2]
time: 0.001; rss: 1235MB	codegen passes [49]
time: 0.003; rss: 1235MB	llvm function passes [11]
time: 0.001; rss: 1235MB	llvm module passes [11]
time: 0.009; rss: 1236MB	llvm module passes [2]
time: 0.001; rss: 1238MB	llvm function passes [45]
time: 0.000; rss: 1238MB	llvm module passes [45]
time: 0.001; rss: 1240MB	llvm function passes [44]
time: 0.000; rss: 1240MB	llvm module passes [44]
time: 0.000; rss: 1242MB	llvm function passes [43]
time: 0.000; rss: 1242MB	llvm module passes [43]
time: 0.000; rss: 1249MB	llvm function passes [39]
time: 0.000; rss: 1249MB	llvm module passes [39]
time: 0.001; rss: 1249MB	codegen passes [39]
